3rd and 14 at TA&M 41,Dylan Thompson pass incomplete to Rory Anderson,,
,"Timeout SOUTH CAROLINA, clock 03:49",,
4th and 14 at TA&M 41,Tyler Hull punt for 41 yds for a touchback,,
"SC DRIVE TOTALS: 8 plays, 34 yards, 3:32",,,
Texas A&M at 3:35,,TA&M,USC
1st and 10 at TA&M 20,Kenny Hill pass complete to Trey Williams for no gain to the TexAM 20,24,14
2nd and 10 at TA&M 20,Kenny Hill pass complete to Malcome Kennedy for 21 yds to the TexAM 41 for a 1ST down,,
1st and 10 at TA&M 41,Trey Williams run for 9 yds to the 50 yard line,,
2nd and 1 at 50,Kenny Hill pass incomplete to Sabian Holmes,,
3rd and 1 at 50,Kenny Hill pass complete to Malcome Kennedy for 8 yds to the SCaro 42 for a 1ST down,,
1st and 10 at SC 42,Kenny Hill pass complete to Malcome Kennedy for 9 yds to the SCaro 33,,
2nd and 1 at SC 33,Kenny Hill pass complete to Malcome Kennedy for 9 yds to the SCaro 24 for a 1ST down,,
1st and 10 at SC 24,Kenny Hill pass complete to Speedy Noil for 11 yds to the SCaro 13 for a 1ST down,,
1st and 10 at SC 13,"SOUTH CAROLINA Penalty, Defensive Pass Interference (Al Harris Jr.) to the SCaro 2 for a 1ST down",,
1st and Goal at SC 2,Kenny Hill pass incomplete to Malcome Kennedy,,
2nd and Goal at SC 2,Kenny Hill pass incomplete to Ricky Seals-Jones,,
3rd and Goal at SC 2,"Tra Carson run for 2 yds for a TD, (Josh Lambo KICK)",31,14
"TA&M DRIVE TOTALS: 11 plays, 80 yards, 2:19",,,
South Carolina at 1:16,,TA&M,USC
,Taylor Bertolet kickoff for 65 yds for a touchback,31,14
1st and 10 at SC 25,Dylan Thompson pass complete to Brandon Wilds for 24 yds to the SCaro 49 for a 1ST down,,
1st and 10 at SC 49,Dylan Thompson pass complete to Pharoh Cooper for 26 yds to the TexAM 25 for a 1ST down,,
1st and 10 at TA&M 25,Dylan Thompson pass incomplete,,
2nd and 10 at TA&M 25,"Dylan Thompson pass incomplete to Nick Jones, broken up by Armani Watts",,
3rd and 10 at TA&M 25,"Dylan Thompson sacked by Myles Garrett for a loss of 11 yards to the TexAM 36 SOUTH CAROLINA Penalty, Intentional Grounding (Dylan Thompson) to the TexAM 36",,
4th and 21 at TA&M 36,Elliott Fry 54 yd FG MISSED,,
"SC DRIVE TOTALS: 6 plays, 39 yards, 1:11",,,
Texas A&M at 0:05,,TA&M,USC
1st and 10 at TA&M 36,TEAM run for a loss of 1 yard to the TexAM 35,31,14
,End of 2nd Quarter,,
"TA&M DRIVE TOTALS: 1 play, -1 yard, 0:05",,,
3rd Quarter Play-by-Play,,,
,,,
South Carolina at 15:00,,TA&M,USC
,Taylor Bertolet kickoff for 65 yds for a touchback,31,14
1st and 10 at SC 25,Dylan Thompson pass incomplete to Pharoh Cooper,,
2nd and 10 at SC 25,"Dylan Thompson pass incomplete to Shaq Roland, broken up by Deshazor Everett",,
3rd and 10 at SC 25,Dylan Thompson pass incomplete,,
4th and 10 at SC 25,"Tyler Hull punt for 48 yds , Speedy Noil returns for 7 yds to the TexAM 34",,
"SC DRIVE TOTALS: 3 plays, 0 yards, 0:37",,,
Texas A&M at 14:23,,TA&M,USC
1st and 10 at TA&M 34,Kenny Hill pass complete to Speedy Noil for 21 yds to the SCaro 45 for a 1ST down,31,14
1st and 10 at SC 45,Kenny Hill pass complete to Josh Reynolds for 19 yds to the SCaro 26 for a 1ST down,,
1st and 10 at SC 26,Kenny Hill run for 6 yds to the SCaro 20,,
2nd and 4 at SC 20,Kenny Hill sacked by Skai Moore for a loss of 9 yards to the SCaro 29,,
3rd and 13 at SC 29,Brandon Williams run for 24 yds to the SCaro 5 for a 1ST down,,
1st and Goal at SC 5,Kenny Hill run for no gain to the SCaro 5,,
2nd and Goal at SC 5,Kenny Hill pass incomplete to Sabian Holmes,,
3rd and Goal at SC 5,"Kenny Hill pass complete to Josh Reynolds for 5 yds for a TD, (Josh Lambo KICK)",38,14
"TA&M DRIVE TOTALS: 8 plays, 66 yards, 3:15",,,
South Carolina at 11:08,,TA&M,USC
