3rd and 1 at BSU 25,Jay Ajayi run for 2 yds to the BoiSt 27 for a 1ST down,,
1st and 10 at BSU 27,Grant Hedrick pass complete to Shane Williams-Rhodes for a loss of 2 yards to the BoiSt 25,,
2nd and 12 at BSU 25,"BOISE ST Penalty, False Start (-5 Yards) to the BoiSt 20",,
2nd and 17 at BSU 20,Grant Hedrick pass intercepted Tony Conner return for no gain to the BoiSt 40,,
"BSU DRIVE TOTALS: 2 plays, 2 yards, 0:45",,,
Ole Miss at 15:00,,BSU,MISS
1st and 10 at BSU 40,Jordan Wilkins run for 9 yds to the BoiSt 31,6,14
2nd and 1 at BSU 31,"Bo Wallace pass complete to Quincy Adeboyejo for 31 yds for a TD, (Andrew Fletcher KICK)",6,21
Boise State at 5:39,,BSU,MISS
,"Nathan Noble kickoff for 65 yds , Bryan Douglas return for 16 yds to the BoiSt 16",6,21
1st and 10 at BSU 16,Jay Ajayi run for 26 yds to the BoiSt 42 for a 1ST down,,
1st and 10 at BSU 42,"Hedrick, Grant pass incomplete to Miller, Matt, PENALTY OLEMISS pass interference 10 yards to the OLEMISS48, NO PLAY, 1ST DOWN BOISEST. for a 1ST down",,
1st and 10 at MISS 48,Grant Hedrick pass complete to Jay Ajayi for 2 yds to the Miss 46,,
2nd and 8 at MISS 46,Grant Hedrick pass complete to Jay Ajayi for 4 yds to the Miss 42,,
3rd and 4 at MISS 42,Grant Hedrick sacked by Deterrian Shackelford for a loss of 15 yards to the BoiSt 43,,
4th and 19 at BSU 43,"Sean Wale punt for 33 yds, fair catch by Anthony Alford at the Miss 24",,
"MISS DRIVE TOTALS: 3 plays, -7 yards, 0:54",,,
Ole Miss at 15:00,,BSU,MISS
,"Timeout OLE MISS, clock 07:56",6,21
1st and 10 at MISS 24,"Bo Wallace pass complete to Cody Core for 76 yds for a TD, (Andrew Fletcher KICK)",6,28
Boise State at 4:45,,BSU,MISS
,"Nathan Noble kickoff for 62 yds , Bryan Douglas return for 24 yds to the BoiSt 27",6,28
1st and 10 at BSU 27,Grant Hedrick pass complete to Jay Ajayi for 7 yds to the BoiSt 34,,
2nd and 3 at BSU 34,Jay Ajayi run for 11 yds to the BoiSt 45 for a 1ST down,,
1st and 10 at BSU 45,Grant Hedrick pass complete to Jay Ajayi for 11 yds to the Miss 44 for a 1ST down,,
1st and 10 at MISS 44,Grant Hedrick pass complete to Jake Roh for 4 yds to the Miss 40,,
2nd and 6 at MISS 40,Grant Hedrick pass incomplete to Matt Miller,,
3rd and 6 at MISS 40,Grant Hedrick pass complete to Shane Williams-Rhodes for 16 yds to the Miss 24 for a 1ST down,,
1st and 10 at MISS 24,Grant Hedrick run for 8 yds to the Miss 16,,
2nd and 2 at MISS 16,Grant Hedrick pass incomplete to Jay Ajayi,,
3rd and 2 at MISS 16,Grant Hedrick pass incomplete,,
4th and 2 at MISS 16,Grant Hedrick pass complete to Shane Williams-Rhodes for 4 yds to the Miss 12 for a 1ST down,,
1st and 10 at MISS 12,Grant Hedrick pass complete to Shane Williams-Rhodes for 4 yds to the Miss 8,,
2nd and 6 at MISS 8,"Grant Hedrick pass complete to Jay Ajayi for 8 yds for a TD, (Dan Goodale KICK)",13,28
"BSU DRIVE TOTALS: 6 plays, 20 yards, 3:33",,,
Ole Miss at 15:00,,BSU,MISS
,"Dan Goodale on-side kick recovered by OLE MISS at the BoiSt 40 , Laquon Treadwell return for 3 yds to the BoiSt 40",13,28
1st and 10 at BSU 40,Mark Dodson run for no gain to the BoiSt 40,,
2nd and 10 at BSU 40,Mark Dodson run for a loss of 1 yard to the BoiSt 41,,
,"Timeout BOISE ST, clock 03:40",,
3rd and 11 at BSU 41,Bo Wallace pass complete to Mark Dodson for 13 yds to the BoiSt 28 for a 1ST down,,
1st and 10 at BSU 28,Mark Dodson run for 9 yds to the BoiSt 19,,
2nd and 1 at BSU 19,"Mark Dodson run for 19 yds for a TD, (Andrew Fletcher KICK)",13,35
Boise State at 1:12,,BSU,MISS
,"Nathan Noble kickoff for 65 yds , Bryan Douglas return for 28 yds to the BoiSt 28",13,35
1st and 10 at BSU 28,Grant Hedrick pass complete to Jay Ajayi for 2 yds to the BoiSt 30,,
2nd and 8 at BSU 30,Grant Hedrick run for 20 yds to the 50 yard line for a 1ST down,,
1st and 10 at 50,Grant Hedrick pass complete to Jay Ajayi for 3 yds to the Miss 47,,
2nd and 7 at MISS 47,Grant Hedrick sacked by John Youngblood for a loss of 6 yards to the BoiSt 47,,
3rd and 13 at BSU 47,Grant Hedrick sacked by Marquis Haynes for a loss of 15 yards to the BoiSt 32,,
4th and 28 at BSU 32,Grant Hedrick pass complete to Jay Ajayi for 15 yds to the BoiSt 47,,
"MISS DRIVE TOTALS: 6 plays, 16 yards, 0:58",,,
Ole Miss at 15:00,,BSU,MISS
1st and 10 at BSU 47,TEAM run for a loss of 2 yards to the BoiSt 49,13,35
2nd and 12 at BSU 49,TEAM run for a loss of 2 yards to the Miss 49,,
,End of 4th Quarter,,
