2nd and 12 at BUFF 23,Anthone Taylor run for 3 yds to the Buff 26,,
3rd and 9 at BUFF 26,Joe Licata pass complete to Anthone Taylor for a loss of 4 yards to the Buff 22,,
4th and 13 at BUFF 22,"Tyler Grassman punt for 35 yds, fair catch by Cal Spangler at the Bayl 43",,
"BUFF DRIVE TOTALS: 3 plays, -3 yards, 1:56",,,
Baylor at 3:21,,BU,BUF
1st and 10 at BAY 43,Bryce Petty pass complete to KD Cannon for 38 yds to the Buff 19 for a 1ST down,35,0
1st and 10 at BUFF 19,Bryce Petty pass incomplete,,
2nd and 10 at BUFF 19,Bryce Petty pass incomplete to Lynx Hawthorne,,
,"Timeout BUFFALO, clock 02:51",,
3rd and 10 at BUFF 19,Bryce Petty pass incomplete to Lynx Hawthorne,,
4th and 10 at BUFF 19,Chris Callahan 35 yd FG MISSED,,
"BAY DRIVE TOTALS: 5 plays, 38 yards, 0:40",,,
Buffalo at 2:41,,BU,BUF
1st and 10 at BUFF 20,Joe Licata pass complete to Devon Hughes for 4 yds to the Buff 24,35,0
2nd and 6 at BUFF 24,Joe Licata pass complete to Jordan Johnson for 10 yds to the Buff 34 for a 1ST down,,
1st and 10 at BUFF 34,Joe Licata pass complete to Devon Hughes for 9 yds to the Buff 43,,
2nd and 1 at BUFF 43,Joe Licata pass incomplete to Matt Weiser,,
3rd and 1 at BUFF 43,"BUFFALO Penalty, False Start (John Dunmore) to the Buff 38",,
3rd and 6 at BUFF 38,"Joe Licata pass incomplete to Devon Hughes, broken up by Bryce Hager",,
4th and 6 at BUFF 38,"Tyler Grassman punt for 40 yds , Cal Spangler returns for 1 yd to the Bayl 23",,
"BUFF DRIVE TOTALS: 5 plays, 18 yards, 1:51",,,
Baylor at 0:50,,BU,BUF
1st and 10 at BAY 23,Shock Linwood run for 3 yds to the Bayl 26,35,0
2nd and 7 at BAY 26,Shock Linwood run for a loss of 1 yard to the Bayl 25,,
,End of 2nd Quarter,,
"BAY DRIVE TOTALS: 2 plays, 2 yards, 0:50",,,
3rd Quarter Play-by-Play,,,
,,,
Buffalo at 15:00,,BU,BUF
,"Kyle Peterson kickoff for 63 yds , Devin Campbell return for 31 yds to the Buff 33",35,0
1st and 10 at BUFF 33,Joe Licata pass incomplete to Devon Hughes,,
2nd and 10 at BUFF 33,"Joe Licata pass complete to Matt Weiser for 6 yds to the Bayl 39 for a 1ST down BAYLOR Penalty, Roughing Passer (Andrew Billings) to the Bayl 46 for a 1ST down",,
1st and 10 at BAY 46,Anthone Taylor run for 1 yd to the Bayl 45,,
2nd and 9 at BAY 45,Anthone Taylor run for 1 yd to the Bayl 44,,
3rd and 8 at BAY 44,"Joe Licata pass incomplete to Ron Willoughby, broken up by Xavien Howard",,
4th and 8 at BAY 44,Tyler Grassman punt for 44 yds for a touchback,,
"BUFF DRIVE TOTALS: 5 plays, 23 yards, 1:48",,,
Baylor at 13:12,,BU,BUF
1st and 10 at BAY 20,Shock Linwood run for 2 yds to the Bayl 22,35,0
2nd and 8 at BAY 22,"Bryce Petty pass incomplete to Jay Lee, broken up by Dwellie Striggles",,
3rd and 8 at BAY 22,"Bryce Petty pass incomplete to KD Cannon, broken up by Dwellie Striggles",,
4th and 8 at BAY 22,"Spencer Roth punt for 36 yds, downed at the Buff 42",,
"BAY DRIVE TOTALS: 3 plays, 2 yards, 0:45",,,
Buffalo at 12:27,,BU,BUF
1st and 10 at BUFF 42,Jordan Johnson run for a loss of 2 yards to the Buff 40,35,0
2nd and 12 at BUFF 40,Jordan Johnson run for 8 yds to the Buff 48,,
3rd and 4 at BUFF 48,"Johnson, Jordan rush for 3 yards to the BAYLOR49, PENALTY BAYLOR offside (Magee, Javonte) 5 yards to the BAYLOR47, NO PLAY, 1ST DOWN BUFFALO. for a 1ST down",,
1st and 10 at BAY 47,Jordan Johnson run for no gain to the Bayl 47,,
2nd and 10 at BAY 47,Joe Licata pass complete to Devon Hughes for 6 yds to the Bayl 41,,
3rd and 4 at BAY 41,Joe Licata pass incomplete,,
4th and 4 at BAY 41,"Joe Licata pass complete to Devon Hughes for 41 yds for a TD, (Patrick Clarke KICK)",35,7
"BUFF DRIVE TOTALS: 6 plays, 58 yards, 2:56",,,
Baylor at 9:31,,BU,BUF
,"Patrick Clarke kickoff for 36 yds , Suleiman Masumbuko return for 11 yds to the Bayl 40",35,7
1st and 10 at BAY 40,Shock Linwood run for 3 yds to the Bayl 43,,
2nd and 7 at BAY 43,Bryce Petty pass complete to KD Cannon for 18 yds to the Buff 39 for a 1ST down,,
1st and 10 at BUFF 39,Bryce Petty pass complete to Jay Lee for 10 yds to the Buff 29 for a 1ST down,,
1st and 10 at BUFF 29,Shock Linwood run for 1 yd to the Buff 28,,
2nd and 9 at BUFF 28,Bryce Petty pass complete to Lynx Hawthorne for 7 yds to the Buff 21,,
3rd and 2 at BUFF 21,Shock Linwood run for 3 yds to the Buff 18 for a 1ST down,,
1st and 10 at BUFF 18,"Bryce Petty pass complete to Lynx Hawthorne for 18 yds for a TD, (Kyle Peterson KICK)",42,7
"BAY DRIVE TOTALS: 7 plays, 60 yards, 1:45",,,
Buffalo at 7:46,,BU,BUF
,"Kyle Peterson kickoff for 62 yds , Jacob Martinez return for 21 yds to the Buff 24",42,7
1st and 10 at BUFF 24,Joe Licata pass complete to Ron Willoughby for 35 yds to the Bayl 41 for a 1ST down,,
1st and 10 at BAY 41,"Anthone Taylor run for 41 yds for a TD, (Patrick Clarke KICK)",42,14
"BUFF DRIVE TOTALS: 2 plays, 76 yards, 0:37",,,
Baylor at 7:09,,BU,BUF
,"Patrick Clarke kickoff for 45 yds , Cal Spangler return for 13 yds to the Bayl 48 BUFFALO Penalty, Defensive Offside (Myles Nicholas) to the Bayl 38",42,14
1st and 10 at BAY 38,Bryce Petty pass complete to Jay Lee for 8 yds to the Bayl 46,,
2nd and 2 at BAY 46,Shock Linwood run for 22 yds to the Buff 32 for a 1ST down,,
1st and 10 at BUFF 32,Bryce Petty pass complete to Jay Lee for 9 yds to the Buff 23,,
2nd and 1 at BUFF 23,Shock Linwood run for 6 yds to the Buff 17 for a 1ST down,,
1st and 10 at BUFF 17,Bryce Petty pass complete to Lynx Hawthorne for 3 yds to the Buff 14,,
2nd and 7 at BUFF 14,"Bryce Petty pass complete to Jay Lee for 14 yds for a TD, (Kyle Peterson KICK)",49,14
"BAY DRIVE TOTALS: 6 plays, 62 yards, 2:01",,,
Buffalo at 5:08,,BU,BUF
,Kyle Peterson kickoff for 62 yds,49,14
1st and 10 at BUFF 35,Joe Licata sacked by Beau Blackshear for a loss of 5 yards to the Buff 30,,
2nd and 15 at BUFF 30,Anthone Taylor run for no gain to the Buff 30,,
3rd and 15 at BUFF 30,Joe Licata pass complete to Matt Weiser for 17 yds to the Buff 47 for a 1ST down,,
1st and 10 at BUFF 47,Jordan Johnson run for 5 yds to the Bayl 48,,
2nd and 5 at BAY 48,Jordan Johnson run for 6 yds to the Bayl 42 for a 1ST down,,
1st and 10 at BAY 42,Jordan Johnson run for 3 yds to the Bayl 39,,
2nd and 7 at BAY 39,Jordan Johnson run for 6 yds to the Bayl 33,,
3rd and 1 at BAY 33,Jordan Johnson run for a loss of 2 yards to the Bayl 35,,
4th and 3 at BAY 35,Joe Licata pass incomplete to Devon Hughes,,
"BUFF DRIVE TOTALS: 9 plays, 30 yards, 4:28",,,
Baylor at 0:40,,BU,BUF
1st and 10 at BAY 35,Johnny Jefferson run for 3 yds to the Bayl 38,49,14
,End of 3rd Quarter,,
4th Quarter Play-by-Play,,,
,,,
Baylor at 15:00,,BU,BUF
2nd and 7 at BAY 38,Johnny Jefferson run for 13 yds to the Buff 49 for a 1ST down,49,14
1st and 10 at BUFF 49,Johnny Jefferson run for 4 yds to the Buff 45,,
2nd and 6 at BUFF 45,Seth Russell pass incomplete to KD Cannon,,
3rd and 6 at BUFF 45,Seth Russell run for 5 yds to the Buff 40,,
4th and 1 at BUFF 40,Seth Russell pass complete to Lynx Hawthorne for 27 yds to the Buff 13 for a 1ST down,,
1st and 10 at BUFF 13,"Seth Russell run for a loss of 18 yards to the Buff 31 Seth Russell fumbled, recovered by Bayl Seth Russell",,
,"Timeout BUFFALO, clock 13:03",,
2nd and 28 at BUFF 31,"Seth Russell run for 31 yds for a TD, (Kyle Peterson KICK)",56,14
"BAY DRIVE TOTALS: 8 plays, 65 yards, 2:42",,,
Buffalo at 12:58,,BU,BUF
,"Spencer Evans kickoff for 54 yds , Jacob Martinez return for 22 yds to the Buff 33",56,14
1st and 10 at BUFF 33,Tony Daniel run for 6 yds to the Buff 39,,
2nd and 4 at BUFF 39,Anthone Taylor run for 8 yds to the Buff 47 for a 1ST down,,
1st and 10 at BUFF 47,"Anthone Taylor run for a loss of 10 yards to the Buff 37 Anthone Taylor fumbled, recovered by Bayl Brian Nance",,
"BUFF DRIVE TOTALS: 3 plays, 4 yards, 1:17",,,
Baylor at 11:41,,BU,BUF
