1st and 10 at SMU 33,Bryce Petty pass complete to Jay Lee for 15 yds to the SMU 18 for a 1ST down,0,24
1st and 10 at SMU 18,Bryce Petty pass complete to Jay Lee for 13 yds to the SMU 5 for a 1ST down,,
1st and Goal at SMU 5,"Bryce Petty run for 5 yds for a TD, (Chris Callahan KICK)",0,31
"BAY DRIVE TOTALS: 3 plays, 33 yards, 0:26",,,
SMU at 10:50,,SMU,BU
,"Spencer Evans kickoff for 58 yds , Deion Sanders Jr. return for 19 yds to the SMU 26",0,31
1st and 10 at SMU 26,"Neal Burcham run for 6 yds to the SMU 32 for a 1ST down BAYLOR Penalty, Personal Foul (Jamal Palmer) to the SMU 47 for a 1ST down",,
1st and 10 at SMU 47,Kevin Pope run for 5 yds to the Bayl 48,,
2nd and 5 at BAY 48,Kevin Pope run for a loss of 1 yard to the Bayl 49,,
3rd and 6 at BAY 49,Neal Burcham pass complete to Darius Joseph for 2 yds to the Bayl 47,,
4th and 4 at BAY 47,Neal Burcham pass incomplete to Ryheem Malone,,
"SMU DRIVE TOTALS: 5 plays, 27 yards, 2:42",,,
Baylor at 8:08,,SMU,BU
1st and 10 at BAY 47,Johnny Jefferson run for 13 yds to the SMU 40 for a 1ST down,0,31
1st and 10 at SMU 40,Johnny Jefferson run for 2 yds to the SMU 38,,
2nd and 8 at SMU 38,"BAYLOR Penalty, Illegal Block (Johnny Jefferson) to the Bayl 47",,
2nd and 23 at BAY 47,Bryce Petty pass complete to Levi Norwood for 4 yds to the SMU 49,,
3rd and 19 at SMU 49,Bryce Petty pass incomplete,,
4th and 19 at SMU 49,"Spencer Roth punt for 6 yds, punt out-of-bounds at the SMU 43",,
"BAY DRIVE TOTALS: 4 plays, 4 yards, 1:46",,,
SMU at 6:22,,SMU,BU
1st and 10 at SMU 43,Neal Burcham pass incomplete to Der'rikk Thompson,0,31
2nd and 10 at SMU 43,Prescott Line run for 1 yd to the SMU 44,,
3rd and 9 at SMU 44,Neal Burcham pass complete to Der'rikk Thompson for 15 yds to the Bayl 41 for a 1ST down,,
1st and 10 at BAY 41,Neal Burcham pass complete to Cedric Lancaster for 3 yds to the Bayl 38,,
2nd and 7 at BAY 38,Neal Burcham pass incomplete to Kevin Pope,,
,"Timeout SMU, clock 04:18",,
3rd and 7 at BAY 38,Neal Burcham sacked by Taylor Young for a loss of 8 yards to the Bayl 46,,
,"Timeout BAYLOR, clock 03:36",,
4th and 15 at BAY 46,Neal Burcham sacked by Javonte Magee and Shawn Oakman for a loss of 7 yards to the SMU 47,,
"SMU DRIVE TOTALS: 7 plays, 4 yards, 2:51",,,
Baylor at 3:31,,SMU,BU
1st and 10 at SMU 47,Shock Linwood run for no gain to the SMU 47,0,31
2nd and 10 at SMU 47,Bryce Petty pass incomplete to Jay Lee,,
3rd and 10 at SMU 47,Bryce Petty pass complete to Davion Hall for 8 yds to the SMU 39,,
4th and 2 at SMU 39,Johnny Jefferson run for 3 yds to the SMU 36 for a 1ST down,,
1st and 10 at SMU 36,Bryce Petty pass incomplete to Jay Lee,,
2nd and 10 at SMU 36,Bryce Petty pass complete to Johnny Jefferson for 16 yds to the SMU 20 for a 1ST down,,
1st and 10 at SMU 20,Bryce Petty pass complete to Lynx Hawthorne for 3 yds to the SMU 17,,
2nd and 7 at SMU 17,Bryce Petty pass incomplete to Shock Linwood,,
3rd and 7 at SMU 17,"BAYLOR Penalty, Offensive Holding (Kyle Fuller) to the SMU 27",,
3rd and 17 at SMU 27,Bryce Petty pass complete to Davion Hall for 9 yds to the SMU 18,,
4th and 8 at SMU 18,Chris Callahan 35 yd FG MISSED,,
"BAY DRIVE TOTALS: 10 plays, 29 yards, 2:38",,,
SMU at 0:53,,SMU,BU
1st and 10 at SMU 20,Neal Burcham pass complete to Kevin Pope for 3 yds to the SMU 23,0,31
2nd and 7 at SMU 23,Neal Burcham pass complete to Kevin Pope for 3 yds to the SMU 26,,
3rd and 4 at SMU 26,"Neal Burcham pass complete to Kevin Pope for 2 yds Kevin Pope fumbled, recovered by SMU Taylor Lasecki",,
,End of 2nd Quarter,,
"SMU DRIVE TOTALS: 3 plays, 8 yards, 0:53",,,
3rd Quarter Play-by-Play,,,
,,,
Baylor at 15:00,,SMU,BU
,Cody Rademacher kickoff for 64 yds,0,31
1st and 10 at BAY 35,Seth Russell pass complete to Jay Lee for 3 yds to the Bayl 38,,
2nd and 7 at BAY 38,Shock Linwood run for 5 yds to the Bayl 43,,
3rd and 2 at BAY 43,Shock Linwood run for 7 yds to the 50 yard line for a 1ST down,,
1st and 10 at 50,"Seth Russell pass incomplete to Davion Hall for a 1ST down SMU Penalty, Face Mask (15 yards) (15 Yards) to the SMU 35 for a 1ST down",,
1st and 10 at SMU 35,"BAYLOR Penalty, False Start (-5 Yards) to the SMU 40",,
1st and 15 at SMU 40,Seth Russell pass incomplete to Davion Hall,,
2nd and 15 at SMU 40,Shock Linwood run for 3 yds to the SMU 37,,
3rd and 12 at SMU 37,Seth Russell pass intercepted Hayden Greenbauer return for 10 yds to the SMU 29,,
"BAY DRIVE TOTALS: 7 plays, 28 yards, 1:32",,,
SMU at 13:28,,SMU,BU
1st and 10 at SMU 29,Kevin Pope run for a loss of 1 yard to the SMU 28,0,31
2nd and 11 at SMU 28,Neal Burcham pass complete to Darius Joseph for 12 yds to the SMU 40 for a 1ST down,,
1st and 10 at SMU 40,Neal Burcham pass complete to Cedric Lancaster for 1 yd to the SMU 41,,
2nd and 9 at SMU 41,"Neal Burcham sacked by Shawn Oakman for a loss of 9 yards to the SMU 32 Neal Burcham fumbled, recovered by SMU Kris Weeks , return for 0 yards",,
3rd and 18 at SMU 32,Neal Burcham pass complete to Prescott Line for 4 yds to the SMU 36,,
4th and 14 at SMU 36,"Jackson Koonce punt for 52 yds, downed at the Bayl 12",,
"SMU DRIVE TOTALS: 5 plays, 7 yards, 3:20",,,
Baylor at 10:08,,SMU,BU
1st and 10 at BAY 12,Seth Russell run for 5 yds to the Bayl 17,0,31
2nd and 5 at BAY 17,Seth Russell run for 9 yds to the Bayl 26 for a 1ST down,,
1st and 10 at BAY 26,Shock Linwood run for 3 yds to the Bayl 29,,
2nd and 7 at BAY 29,Seth Russell pass incomplete to Davion Hall,,
3rd and 7 at BAY 29,Seth Russell pass complete to Levi Norwood for 8 yds to the Bayl 37 for a 1ST down,,
1st and 10 at BAY 37,KD Cannon run for 4 yds to the Bayl 41,,
2nd and 6 at BAY 41,Shock Linwood run for 4 yds to the Bayl 45,,
3rd and 2 at BAY 45,Shock Linwood run for 11 yds to the SMU 44 for a 1ST down,,
,"Timeout SMU, clock 08:17",,
1st and 10 at SMU 44,Seth Russell pass complete to Levi Norwood for 4 yds to the SMU 40,,
2nd and 6 at SMU 40,Johnny Jefferson run for 11 yds to the SMU 29 for a 1ST down,,
1st and 10 at SMU 29,Johnny Jefferson run for 4 yds to the SMU 25,,
2nd and 6 at SMU 25,"SMU Penalty, Defensive Offside (5 Yards) to the SMU 20",,
2nd and 1 at SMU 20,Shock Linwood run for 6 yds to the SMU 14 for a 1ST down,,
1st and 10 at SMU 14,Shock Linwood run for 1 yd to the SMU 13,,
2nd and 9 at SMU 13,Seth Russell run for a loss of 2 yards to the SMU 15,,
3rd and 11 at SMU 15,Seth Russell pass incomplete to Levi Norwood,,
4th and 11 at SMU 15,"BAYLOR Penalty, False Start (Ishmael Wilson) to the SMU 20",,
4th and 16 at SMU 20,"Chris Callahan 37 yd FG BLOCKED blocked by Andrew McCleneghen Cameron Nwosu return for 3 yds to the SMU 20 Cameron Nwosu fumbled, recovered by Bayl LaQuan McGowan",,
"BAY DRIVE TOTALS: 16 plays, 68 yards, 4:28",,,
Baylor at 5:40,,SMU,BU
1st and 10 at SMU 20,Shock Linwood run for 13 yds to the SMU 7 for a 1ST down,0,31
1st and Goal at SMU 7,Seth Russell run for 4 yds to the SMU 3,,
2nd and Goal at SMU 3,"Shock Linwood run for 2 yds Shock Linwood fumbled, recovered by SMU Ajee Montes",,
"BAY DRIVE TOTALS: 3 plays, 19 yards, 0:40",,,
SMU at 5:00,,SMU,BU
1st and 10 at SMU 20,Neal Burcham pass complete to Darius Durall for a loss of 2 yards to the SMU 18,0,31
2nd and 12 at SMU 18,Darius Durall run for 4 yds to the SMU 22,,
3rd and 8 at SMU 22,Neal Burcham pass complete to Ryheem Malone for 7 yds to the SMU 29,,
4th and 1 at SMU 29,"Jackson Koonce punt for 45 yds, fair catch by Levi Norwood at the Bayl 26",,
"SMU DRIVE TOTALS: 3 plays, 9 yards, 2:11",,,
Baylor at 3:00,,SMU,BU
1st and 10 at BAY 26,Johnny Jefferson run for 4 yds to the Bayl 30,0,31
2nd and 6 at BAY 30,Seth Russell pass incomplete,,
3rd and 6 at BAY 30,Seth Russell pass complete to Tre'Von Armstead for 18 yds to the Bayl 48 for a 1ST down,,
1st and 10 at BAY 48,Seth Russell pass complete to Levi Norwood for 10 yds to the SMU 42 for a 1ST down,,
1st and 10 at SMU 42,Seth Russell pass incomplete to KD Cannon,,
2nd and 10 at SMU 42,Seth Russell run for 11 yds to the SMU 31 for a 1ST down,,
1st and 10 at SMU 31,Seth Russell pass complete to Jay Lee for 10 yds to the SMU 21 for a 1ST down,,
1st and 10 at SMU 21,Johnny Jefferson run for 9 yds to the SMU 12,,
2nd and 1 at SMU 12,"Seth Russell pass complete to Jay Lee for 12 yds for a TD, (Chris Callahan KICK)",0,38
"BAY DRIVE TOTALS: 9 plays, 74 yards, 2:24",,,
SMU at 0:36,,SMU,BU
,"Kyle Peterson kickoff for 65 yds , Deion Sanders Jr. return for 14 yds to the SMU 14",0,38
1st and 10 at SMU 14,Neal Burcham pass incomplete to Darius Durall,,
2nd and 10 at SMU 14,Neal Burcham pass incomplete to Kevin Pope,,
3rd and 10 at SMU 14,Neal Burcham sacked by Beau Blackshear for a loss of 12 yards to the SMU 2,,
,End of 3rd Quarter,,
4th Quarter Play-by-Play,,,
,,,
SMU at 15:00,,SMU,BU
4th and 22 at SMU 2,"Jackson Koonce punt for 43 yds , Cal Spangler returns for no gain to the Bayl 2 BAYLOR Penalty, Illegal Block (Troy Baker) to the Bayl 45",0,38
"SMU DRIVE TOTALS: 3 plays, -12 yards, 0:48",,,
Baylor at 14:48,,SMU,BU
1st and 10 at BAY 45,Seth Russell pass incomplete,0,38
2nd and 10 at BAY 45,Seth Russell pass complete to Lynx Hawthorne for 5 yds to the 50 yard line,,
3rd and 5 at 50,Seth Russell run for 16 yds to the SMU 34 for a 1ST down,,
1st and 10 at SMU 34,Seth Russell pass incomplete to KD Cannon,,
2nd and 10 at SMU 34,Johnny Jefferson run for 2 yds to the SMU 32,,
3rd and 8 at SMU 32,Seth Russell pass complete to Davion Hall for 7 yds to the SMU 25,,
4th and 1 at SMU 25,"BAYLOR Penalty, Offensive Holding (-10 Yards) to the SMU 35",,
4th and 11 at SMU 35,Chris Callahan 52 yd FG MISSED,,
"BAY DRIVE TOTALS: 7 plays, 20 yards, 2:10",,,
SMU at 12:38,,SMU,BU
1st and 10 at SMU 35,K.C. Nlemchi run for 1 yd to the SMU 36,0,38
2nd and 9 at SMU 36,K.C. Nlemchi run for 5 yds to the SMU 41,,
3rd and 4 at SMU 41,Kolney Cassel pass complete to Daijuan Stewart for 6 yds to the SMU 47 for a 1ST down,,
1st and 10 at SMU 47,Kolney Cassel pass incomplete to Daijuan Stewart,,
2nd and 10 at SMU 47,Kolney Cassel pass complete to Shelby Walker for 8 yds to the Bayl 45,,
3rd and 2 at BAY 45,Prescott Line run for 2 yds to the Bayl 43 for a 1ST down,,
1st and 10 at BAY 43,Kolney Cassel pass complete to Daijuan Stewart for 6 yds to the Bayl 37,,
2nd and 4 at BAY 37,Kolney Cassel pass incomplete to Shelby Walker,,
3rd and 4 at BAY 37,Kolney Cassel pass incomplete,,
4th and 4 at BAY 37,Kolney Cassel sacked by Suleiman Masumbuko for a loss of 6 yards to the Bayl 43,,
"SMU DRIVE TOTALS: 10 plays, 22 yards, 4:04",,,
Baylor at 8:34,,SMU,BU
1st and 10 at BAY 43,Johnny Jefferson run for 4 yds to the Bayl 47,0,38
2nd and 6 at BAY 47,Seth Russell pass complete to Davion Hall for 14 yds to the SMU 39 for a 1ST down,,
1st and 10 at SMU 39,Johnny Jefferson run for 1 yd to the SMU 38,,
2nd and 9 at SMU 38,Johnny Jefferson run for no gain to the SMU 38,,
3rd and 9 at SMU 38,Seth Russell pass incomplete,,
4th and 9 at SMU 38,Seth Russell pass complete to KD Cannon for 13 yds to the SMU 25 for a 1ST down,,
1st and 10 at SMU 25,Seth Russell pass complete to Davion Hall for 12 yds to the SMU 13 for a 1ST down,,
1st and 10 at SMU 13,Seth Russell pass complete to Davion Hall for 8 yds to the SMU 5,,
2nd and 2 at SMU 5,Silas Nacita run for 1 yd to the SMU 4,,
3rd and 1 at SMU 4,Seth Russell run for 3 yds to the SMU 1 for a 1ST down,,
1st and Goal at SMU 1,Silas Nacita 1 Yd Run (Kyle Peterson Kick),0,45
"BAY DRIVE TOTALS: 11 plays, 57 yards, 3:28",,,
SMU at 5:06,,SMU,BU
,Kyle Peterson kickoff for 65 yds for a touchback,0,45
1st and 10 at SMU 25,Kolney Cassel pass incomplete to K.C. Nlemchi,,
2nd and 10 at SMU 25,K.C. Nlemchi run for 2 yds to the SMU 27,,
3rd and 8 at SMU 27,Kolney Cassel pass incomplete,,
4th and 8 at SMU 27,"Jackson Koonce punt for 43 yds, downed at the Bayl 30",,
"SMU DRIVE TOTALS: 3 plays, 2 yards, 1:11",,,
Baylor at 3:55,,SMU,BU
1st and 10 at BAY 30,Silas Nacita run for 3 yds to the Bayl 33,0,45
2nd and 7 at BAY 33,"BAYLOR Penalty, False Start (Pat Colbert) to the Bayl 27",,
2nd and 13 at BAY 27,Silas Nacita run for 5 yds to the Bayl 32,,
3rd and 8 at BAY 32,Chris Johnson pass complete to Davion Hall for 28 yds to the SMU 40 for a 1ST down,,
1st and 10 at SMU 40,Silas Nacita run for 4 yds to the SMU 36,,
2nd and 6 at SMU 36,"BAYLOR Penalty, False Start (-5 Yards) to the SMU 41",,
2nd and 11 at SMU 41,Silas Nacita run for 6 yds to the SMU 35,,
3rd and 5 at SMU 35,Chris Johnson run for 17 yds to the SMU 18 for a 1ST down,,
,End of 4th Quarter,,
"BAY DRIVE TOTALS: 6 plays, 52 yards, 3:55",,,
