,"Erik Powell kickoff for 62 yds , Kyle Middlebrooks return for 28 yds to the ArzSt 31 Kyle Middlebrooks fumbled, recovered by ArzSt Kyle Middlebrooks",7,0
1st and 10 at ASU 31,Taylor Kelly pass incomplete,,
2nd and 10 at ASU 31,Taylor Kelly sacked by Kache Palacio for a loss of 4 yards to the ArzSt 27,,
3rd and 14 at ASU 27,Taylor Kelly sacked by Xavier Cooper for a loss of 3 yards to the ArzSt 24,,
4th and 17 at ASU 24,"Matt Haack punt for 56 yds, downed at the WshSt 20",,
"ASU DRIVE TOTALS: 3 plays, -7 yards, 1:36"
Washington State at 1:09,,WSU,ASU
1st and 10 at WSU 20,Luke Falk pass intercepted Damarious Randall return for no gain to the ArzSt 38,7,0
"WSU DRIVE TOTALS: 1 play, 0 yards, 0:13"
Arizona State at 0:56,,WSU,ASU
1st and 10 at ASU 38,Taylor Kelly run for a loss of 3 yards to the ArzSt 35,7,0
2nd and 13 at ASU 35,Taylor Kelly pass complete to D.J. Foster for 42 yds to the WshSt 23 for a 1ST down,,
1st and 10 at WSU 23,"Taylor Kelly pass complete to u""De'Marieya Nelson"",  for 6 yds to the WshSt 17",,
,End of 1st Quarter,,
2nd Quarter Play-by-Play
Arizona State at 15:00,,WSU,ASU
2nd and 4 at WSU 17,"D.J. Foster run for 17 yds for a TD, (Zane Gonzalez KICK)",7,7
"ASU DRIVE TOTALS: 4 plays, 62 yards, 1:04"
Washington State at 14:52,,WSU,ASU
,Alex Garoutte kickoff for 65 yds for a touchback,7,7
1st and 10 at WSU 25,Luke Falk pass complete to Jamal Morrow for 25 yds to the 50 yard line for a 1ST down,,
1st and 10 at 50,Jamal Morrow run for no gain to the 50 yard line,,
2nd and 10 at 50,Luke Falk pass complete to Vince Mayle for 15 yds to the ArzSt 35 for a 1ST down,,
1st and 10 at ASU 35,Marcus Mason run for 5 yds to the ArzSt 30,,
2nd and 5 at ASU 30,Luke Falk pass complete to Vince Mayle for 1 yd to the ArzSt 29,,
3rd and 4 at ASU 29,"ARIZONA ST Penalty, Defensive Offside (5 Yards) to the ArzSt 24 for a 1ST down",,
1st and 10 at ASU 24,"Luke Falk sacked by Viliami Lat,  for a loss of 3 yards to the ArzSt 27",,
2nd and 13 at ASU 27,Luke Falk pass complete to River Cracraft for 14 yds to the ArzSt 13 for a 1ST down,,
1st and 10 at ASU 13,Luke Falk pass complete to Isiah Myers for 12 yds to the ArzSt 1 for a 1ST down,,
1st and Goal at ASU 1,Luke Falk pass incomplete to Vince Mayle,,
2nd and Goal at ASU 1,Luke Falk pass incomplete to Tyler Baker,,
3rd and Goal at ASU 1,"Luke Falk pass complete to Rickey Galvin for 1 yd for a TD, (Quentin Breshears KICK)",14,7
"WSU DRIVE TOTALS: 11 plays, 75 yards, 4:49"
Arizona State at 10:03,,WSU,ASU
,"Erik Powell kickoff for 65 yds , Kyle Middlebrooks return for 16 yds to the ArzSt 16",14,7
1st and 10 at ASU 16,Kalen Ballage run for no gain to the ArzSt 16,,
2nd and 10 at ASU 16,Taylor Kelly pass incomplete,,
3rd and 10 at ASU 16,Taylor Kelly pass incomplete to Ellis Jefferson,,
4th and 10 at ASU 16,"Matt Haack punt for 53 yds, downed at the WshSt 31",,
"ASU DRIVE TOTALS: 3 plays, 0 yards, 0:55"
Washington State at 9:08,,WSU,ASU
1st and 10 at WSU 31,Luke Falk pass complete to Vince Mayle for 2 yds to the WshSt 33,14,7
2nd and 8 at WSU 33,Theron West run for 1 yd to the WshSt 34,,
3rd and 7 at WSU 34,Luke Falk pass incomplete to Robert Lewis,,
4th and 7 at WSU 34,"Jordan Dascalo punt for 38 yds, fair catch by Kyle Middlebrooks at the ArzSt 28",,
"WSU DRIVE TOTALS: 3 plays, 3 yards, 1:21"
Arizona State at 7:47,,WSU,ASU
1st and 10 at ASU 28,D.J. Foster run for 7 yds to the ArzSt 35,14,7
2nd and 3 at ASU 35,Taylor Kelly pass incomplete to Cameron Smith,,
3rd and 3 at ASU 35,Taylor Kelly pass incomplete to Ellis Jefferson,,
4th and 3 at ASU 35,Matt Haack punt for 65 yds for a touchback,,
"ASU DRIVE TOTALS: 3 plays, 7 yards, 0:41"
Washington State at 7:06,,WSU,ASU
1st and 10 at WSU 20,"ARIZONA ST Penalty, Defensive Offside (5 Yards) to the WshSt 25",14,7
1st and 5 at WSU 25,"WASHINGTON ST Penalty, Delay of Game (-5 Yards) to the WshSt 20",,
1st and 10 at WSU 20,"ARIZONA ST Penalty, Defensive Offside (5 Yards) to the WshSt 25",,
1st and 5 at WSU 25,Luke Falk pass complete to Jamal Morrow for 20 yds to the WshSt 45 for a 1ST down,,
1st and 10 at WSU 45,Luke Falk pass incomplete,,
2nd and 10 at WSU 45,Luke Falk pass incomplete to Tyler Baker,,
,"Timeout ARIZONA ST, clock 06:15",,
3rd and 10 at WSU 45,"ARIZONA ST Penalty, Defensive Offside (5 Yards) to the 50 yard line",,
,"Timeout WASHINGTON ST, clock 06:06",,
3rd and 5 at 50,Luke Falk pass complete to Vince Mayle for 34 yds to the ArzSt 16 for a 1ST down,,
1st and 10 at ASU 16,"Luke Falk sacked by Dj Calhoun for a loss of 4 yards to the ArzSt 20 Luke Falk fumbled, recovered by WshSt",,
2nd and 14 at ASU 20,"Luke Falk pass complete to Isiah Myers for 20 yds for a TD, (Quentin Breshears KICK)",21,7
"WSU DRIVE TOTALS: 6 plays, 80 yards, 2:14"
Arizona State at 4:52,,WSU,ASU
,"Erik Powell kickoff for 65 yds , Kyle Middlebrooks return for 24 yds to the ArzSt 24",21,7
1st and 10 at ASU 24,D.J. Foster run for no gain to the ArzSt 24,,
2nd and 10 at ASU 24,Taylor Kelly pass complete to Cameron Smith for 11 yds to the ArzSt 35 for a 1ST down,,
1st and 10 at ASU 35,D.J. Foster run for 15 yds to the 50 yard line for a 1ST down,,
,"Timeout WASHINGTON ST, clock 03:52",,
1st and 10 at 50,D.J. Foster run for 8 yds to the WshSt 42,,
2nd and 2 at WSU 42,"Taylor Kelly pass complete to Cameron Smith for 42 yds for a TD, (Zane Gonzalez KICK)",21,14
"ASU DRIVE TOTALS: 5 plays, 76 yards, 1:40"
Washington State at 3:12,,WSU,ASU
,Alex Garoutte kickoff for 65 yds for a touchback,21,14
1st and 10 at WSU 25,Luke Falk pass intercepted Marcus Hardison return for 12 yds to the WshSt 13,,
"WSU DRIVE TOTALS: 1 play, 0 yards, 0:09"
Arizona State at 3:03,,WSU,ASU
1st and 10 at WSU 13,Taylor Kelly pass complete to Cameron Smith for 3 yds to the WshSt 10,21,14
2nd and 7 at WSU 10,"Taylor Kelly pass complete to Frederick Gammage for 10 yds for a TD, (Zane Gonzalez KICK)",21,21
"ASU DRIVE TOTALS: 2 plays, 13 yards, 0:32"
Washington State at 2:31,,WSU,ASU
,Alex Garoutte kickoff for 65 yds for a touchback,21,21
1st and 10 at WSU 25,Luke Falk run for 3 yds to the WshSt 28,,
2nd and 7 at WSU 28,Luke Falk pass complete to Tyler Baker for 5 yds to the WshSt 33,,
3rd and 2 at WSU 33,Luke Falk pass complete to Rickey Galvin for 18 yds to the ArzSt 49 for a 1ST down,,
1st and 10 at ASU 49,Luke Falk sacked by Marcus Hardison for a loss of 11 yards to the WshSt 40,,
2nd and 21 at WSU 40,Luke Falk pass complete to Isiah Myers for 50 yds to the ArzSt 10 for a 1ST down,,
,"Timeout WASHINGTON ST, clock 00:11",,
1st and Goal at ASU 10,Luke Falk pass incomplete to River Cracraft,,
2nd and Goal at ASU 10,Luke Falk pass incomplete to Dom Williams,,
,"Timeout ARIZONA ST, clock 00:03",,
3rd and Goal at ASU 10,Quentin Breshears 27 yd FG GOOD,24,21
,End of 2nd Quarter,,
"WSU DRIVE TOTALS: 8 plays, 65 yards, 2:31"
3rd Quarter Play-by-Play
Washington State at 15:00,,WSU,ASU
,Alex Garoutte kickoff for 65 yds for a touchback,24,21
1st and 10 at WSU 25,Luke Falk sacked by Tashon Smallwood for a loss of 7 yards to the WshSt 18,,
2nd and 17 at WSU 18,Luke Falk pass complete to Vince Mayle for 15 yds to the WshSt 33,,
3rd and 2 at WSU 33,Luke Falk sacked by Salamo Fiso for a loss of 9 yards to the WshSt 24,,
4th and 11 at WSU 24,"Jordan Dascalo punt for 40 yds , Kyle Middlebrooks returns for no gain to the ArzSt 36",,
"WSU DRIVE TOTALS: 3 plays, -1 yard, 1:57"
Arizona State at 13:03,,WSU,ASU
1st and 10 at ASU 36,D.J. Foster run for 3 yds to the ArzSt 39,24,21
2nd and 7 at ASU 39,D.J. Foster run for 3 yds to the ArzSt 42,,
3rd and 4 at ASU 42,D.J. Foster run for 8 yds to the 50 yard line for a 1ST down,,
1st and 10 at 50,Taylor Kelly pass complete to Cameron Smith for 3 yds to the WshSt 47,,
2nd and 7 at WSU 47,Taylor Kelly run for a loss of 2 yards to the WshSt 49,,
3rd and 9 at WSU 49,Taylor Kelly pass incomplete to Cameron Smith,,
4th and 9 at WSU 49,Taylor Kelly punt for 49 yds for a touchback,,
"ASU DRIVE TOTALS: 6 plays, 15 yards, 2:17"
Washington State at 10:46,,WSU,ASU
1st and 10 at WSU 20,Luke Falk pass complete to Isiah Myers for 14 yds to the WshSt 34 for a 1ST down,24,21
1st and 10 at WSU 34,Luke Falk pass complete to Tyler Baker for 1 yd to the WshSt 35,,
2nd and 9 at WSU 35,Luke Falk pass incomplete to River Cracraft,,
3rd and 9 at WSU 35,Luke Falk pass complete to River Cracraft for 8 yds to the WshSt 43,,
,"Timeout WASHINGTON ST, clock 09:03",,
4th and 1 at WSU 43,Luke Falk pass complete to Dom Williams for 10 yds to the ArzSt 47 for a 1ST down,,
1st and 10 at ASU 47,Jamal Morrow run for 7 yds to the ArzSt 40,,
2nd and 3 at ASU 40,Luke Falk pass intercepted Kweishi Brown return for no gain to the ArzSt 30,,
"WSU DRIVE TOTALS: 7 plays, 40 yards, 2:44"
Arizona State at 8:02,,WSU,ASU
1st and 10 at ASU 30,Taylor Kelly pass complete to Cameron Smith for 67 yds to the WshSt 3 for a 1ST down,24,21
1st and Goal at WSU 3,Taylor Kelly run for 2 yds to the WshSt 1,,
2nd and Goal at WSU 1,Demario Richard run for no gain to the WshSt 1,,
3rd and Goal at WSU 1,"D.J. Foster run for 1 yd for a TD, (Zane Gonzalez KICK)",24,28
"ASU DRIVE TOTALS: 4 plays, 70 yards, 1:38"
Washington State at 6:24,,WSU,ASU
,"Alex Garoutte kickoff for 65 yds , Jamal Morrow return for 12 yds to the WshSt 47 WASHINGTON ST Penalty, Illegal Block (6 Yards) to the WshSt 6",24,28
1st and 10 at WSU 6,Theron West run for no gain to the WshSt 6,,
2nd and 10 at WSU 6,Luke Falk pass complete to Rickey Galvin for 19 yds to the WshSt 25 for a 1ST down,,
1st and 10 at WSU 25,Luke Falk pass complete to Vince Mayle for 6 yds to the WshSt 31,,
1st and 10 at WSU 35,Luke Falk pass incomplete to Tyler Baker,,
2nd and 4 at WSU 31,Luke Falk run for 1 yd to the WshSt 32,,
,"Timeout ARIZONA ST, clock 04:07",,
3rd and 3 at WSU 32,Luke Falk pass complete to River Cracraft for 3 yds to the WshSt 35 for a 1ST down,,
2nd and 10 at WSU 35,Luke Falk pass incomplete to River Cracraft,,
3rd and 10 at WSU 35,Luke Falk pass complete to Rickey Galvin for 5 yds to the WshSt 40,,
4th and 5 at WSU 40,"Jordan Dascalo punt for 29 yds, punt out-of-bounds at the ArzSt 31",,
"WSU DRIVE TOTALS: 8 plays, 34 yards, 3:37"
Arizona State at 2:47,,WSU,ASU
1st and 10 at ASU 31,D.J. Foster run for 2 yds to the ArzSt 33,24,28
2nd and 8 at ASU 33,Taylor Kelly pass complete to D.J. Foster for 4 yds to the ArzSt 37,,
3rd and 4 at ASU 37,Taylor Kelly pass complete to D.J. Foster for 17 yds to the WshSt 46 for a 1ST down,,
1st and 10 at WSU 46,Taylor Kelly pass complete to Deantre Lewis for 20 yds to the WshSt 26 for a 1ST down,,
1st and 10 at WSU 26,Frederick Gammage run for 5 yds to the WshSt 21,,
2nd and 5 at WSU 21,Taylor Kelly sacked by Ivan McLennan for a loss of 8 yards to the WshSt 29,,
,End of 3rd Quarter,,
4th Quarter Play-by-Play
Arizona State at 15:00,,WSU,ASU
3rd and 13 at WSU 29,Taylor Kelly pass complete to D.J. Foster for no gain to the WshSt 29,24,28
4th and 13 at WSU 29,Zane Gonzalez 47 yd FG GOOD,24,31
"ASU DRIVE TOTALS: 8 plays, 40 yards, 3:29"
Washington State at 14:18,,WSU,ASU
,Alex Garoutte kickoff for 65 yds for a touchback,24,31
1st and 10 at WSU 25,Jamal Morrow run for 4 yds to the WshSt 29,,
2nd and 6 at WSU 29,Luke Falk pass complete to Vince Mayle for 10 yds to the WshSt 39 for a 1ST down,,
1st and 10 at WSU 39,Luke Falk pass complete to Vince Mayle for 13 yds to the ArzSt 48 for a 1ST down,,
1st and 10 at ASU 48,Luke Falk pass incomplete,,
2nd and 10 at ASU 48,Jamal Morrow run for 13 yds to the ArzSt 35 for a 1ST down,,
1st and 10 at ASU 35,Luke Falk pass complete to Theron West for 2 yds to the ArzSt 33,,
2nd and 8 at ASU 33,Luke Falk pass incomplete to Vince Mayle,,
3rd and 8 at ASU 33,"Luke Falk sacked by Marcus Hardison for a loss of 6 yards to the WshSt 18 Luke Falk fumbled, recovered by ArzSt Viliami Latu , return for 51 yds to the WshSt 18",,
"WSU DRIVE TOTALS: 8 plays, 42 yards, 2:28"
Arizona State at 11:50,,WSU,ASU
1st and 10 at WSU 18,"D.J. Foster run for 18 yds for a TD, (Zane Gonzalez KICK)",24,38
"ASU DRIVE TOTALS: 1 play, 18 yards, 0:05"
Washington State at 11:45,,WSU,ASU
,"Alex Garoutte kickoff for 61 yds , Jamal Morrow return for 18 yds to the WshSt 22",24,38
1st and 10 at WSU 22,Luke Falk pass complete to Vince Mayle for 20 yds to the WshSt 42 for a 1ST down,,
1st and 10 at WSU 42,Luke Falk pass intercepted Salamo Fiso return for 14 yds to the WshSt 38,,
"WSU DRIVE TOTALS: 2 plays, 20 yards, 0:40"
Arizona State at 11:05,,WSU,ASU
1st and 10 at WSU 38,Taylor Kelly pass incomplete to Cameron Smith,24,38
2nd and 10 at WSU 38,Deantre Lewis run for 3 yds to the WshSt 35,,
3rd and 7 at WSU 35,"WASHINGTON ST Penalty, Defensive Offside (5 Yards) to the WshSt 30",,
3rd and 2 at WSU 30,D.J. Foster run for 2 yds to the WshSt 28 for a 1ST down,,
1st and 10 at WSU 28,"D.J. Foster run for 6 yds to the WshSt 22 for a 1ST down WASHINGTON ST Penalty, Personal Foul (Daniel Ekuale) to the WshSt 11 for a 1ST down",,
,"Timeout WASHINGTON ST, clock 09:58",,
1st and 10 at WSU 11,D.J. Foster run for 5 yds to the WshSt 6,,
2nd and 5 at WSU 6,D.J. Foster run for 1 yd to the WshSt 5,,
3rd and 4 at WSU 5,"Taylor Kelly pass complete to Cameron Smith for 5 yds for a TD, (Zane Gonzalez KICK)",24,45
"ASU DRIVE TOTALS: 7 plays, 38 yards, 2:10"
Washington State at 8:55,,WSU,ASU
,"Alex Garoutte kickoff for 58 yds , Jamal Morrow return for 16 yds to the WshSt 23",24,45
1st and 10 at WSU 23,"WASHINGTON ST Penalty, False Start (Eduardo Middleton) to the WshSt 18",,
1st and 15 at WSU 18,Luke Falk pass incomplete to Tyler Baker,,
2nd and 15 at WSU 18,Luke Falk pass complete to Vince Mayle for 12 yds to the WshSt 30,,
3rd and 3 at WSU 30,Luke Falk run for 2 yds to the WshSt 32,,
4th and 1 at WSU 32,Luke Falk pass complete to Isiah Myers for a loss of 2 yards to the WshSt 30,,
"WSU DRIVE TOTALS: 4 plays, 7 yards, 1:24"
Arizona State at 7:31,,WSU,ASU
1st and 10 at WSU 30,Deantre Lewis run for 6 yds to the WshSt 24,24,45
2nd and 4 at WSU 24,Deantre Lewis run for 5 yds to the WshSt 19 for a 1ST down,,
1st and 10 at WSU 19,Taylor Kelly run for 4 yds to the WshSt 15,,
2nd and 6 at WSU 15,Deantre Lewis run for 7 yds to the WshSt 8 for a 1ST down,,
1st and Goal at WSU 8,Deantre Lewis run for 1 yd to the WshSt 7,,
2nd and Goal at WSU 7,Deantre Lewis run for 1 yd to the WshSt 6,,
3rd and Goal at WSU 6,"Taylor Kelly pass complete to Kody Kohl for 6 yds for a TD, (Zane Gonzalez KICK)",24,52
"ASU DRIVE TOTALS: 7 plays, 30 yards, 4:12"
Washington State at 3:19,,WSU,ASU
,Alex Garoutte kickoff for 65 yds for a touchback,24,52
1st and 10 at WSU 25,"WASHINGTON ST Penalty, Offensive Pass Interference (Tyler Baker) to the WshSt 13",,
1st and 22 at WSU 13,Luke Falk pass incomplete to Dom Williams,,
2nd and 22 at WSU 13,Luke Falk pass complete to Jamal Morrow for 10 yds to the WshSt 23,,
3rd and 12 at WSU 23,Luke Falk pass complete to Vince Mayle for 30 yds to the ArzSt 47 for a 1ST down,,
1st and 10 at ASU 47,Luke Falk pass incomplete to Vince Mayle,,
2nd and 10 at ASU 47,Luke Falk pass incomplete to Dom Williams,,
3rd and 10 at ASU 47,Luke Falk pass complete to Dom Williams for 12 yds to the ArzSt 35 for a 1ST down,,
1st and 10 at ASU 35,Luke Falk pass complete to Robert Lewis for 25 yds to the ArzSt 10 for a 1ST down,,
1st and Goal at ASU 10,Luke Falk pass incomplete to Vince Mayle,,
2nd and Goal at ASU 10,Luke Falk pass incomplete to Tyler Baker,,
3rd and Goal at ASU 10,Luke Falk pass complete to River Cracraft for 8 yds to the ArzSt 2,,
,"Timeout WASHINGTON ST, clock 00:27",,
4th and Goal at ASU 2,"Luke Falk pass complete to Dom Williams for 2 yds for a TD, (Quentin Breshears KICK)",31,52
"WSU DRIVE TOTALS: 11 plays, 75 yards, 2:55"
Washington State at 0:24,,WSU,ASU
,Erik Powell on-side kick recovered by WASHINGTON ST at the WshSt 46,31,52
1st and 10 at WSU 46,Luke Falk pass complete to Vince Mayle for 14 yds to the ArzSt 40,,
2nd and 4 at ASU 40,TEAM pass incomplete,,
3rd and 4 at ASU 40,Luke Falk pass complete to Vince Mayle for 16 yds to the ArzSt 24 for a 1ST down,,
1st and 10 at ASU 24,TEAM pass incomplete,,
2nd and 10 at ASU 24,Luke Falk pass complete to Vince Mayle for 19 yds to the ArzSt 5 for a 1ST down,,
,End of 4th Quarter,,
"WSU DRIVE TOTALS: 5 plays, 49 yards, 0:24"
