,"Timeout ARKANSAS ST, clock 03:31",,
4th and 1 at ARST 46,Stephen Hogan punt for 54 yds for a touchback,,
"ARST DRIVE TOTALS: 3 plays, 9 yards, 1:17"
Appalachian State at 3:22,,ASU,ASU
1st and 10 at APP 20,Marcus Cox run for 26 yds to the AppSt 46 for a 1ST down,0,13
1st and 10 at APP 46,Taylor Lamb pass complete to Montez McGuire for 7 yds to the ArkSt 47,,
2nd and 3 at ARST 47,"Cox, Marcus rush for 5 yards to the ASU42 (Rolland-Jones), PENALTY APP HL (Gossett, Colby) 10 yards to the APP43, NO PLAY.",,
2nd and 13 at APP 43,Marcus Cox run for 10 yds to the ArkSt 47,,
3rd and 3 at ARST 47,Taylor Lamb pass complete to Malachi Jones for 15 yds to the ArkSt 32 for a 1ST down,,
1st and 10 at ARST 32,Marcus Cox run for a loss of 1 yard to the ArkSt 33,,
2nd and 11 at ARST 33,Taylor Lamb pass complete to Montez McGuire for 23 yds to the ArkSt 10 for a 1ST down,,
,End of 1st Quarter,,
2nd Quarter Play-by-Play
Appalachian State at 15:00,,ASU,ASU
1st and Goal at ARST 10,"Marcus Cox run for 2 yds to the ArkSt 8 for a 1ST down ARKANSAS ST Penalty, unsportsmanlike conduct (Money Hunter) to the ArkSt 4 for a 1ST down",0,13
1st and Goal at ARST 4,Marcus Cox run for 3 yds to the ArkSt 1,,
2nd and Goal at ARST 1,"Marcus Cox run for 1 yd for a TD, (Bentlee Critcher PAT MISSED)",6,13
"APP DRIVE TOTALS: 9 plays, 80 yards, 4:23"
Arkansas State at 13:59,,ASU,ASU
,Bentlee Critcher kickoff for 38 yds,6,13
1st and 10 at ARST 27,Fredi Knighten pass incomplete,,
2nd and 10 at ARST 27,Fredi Knighten run for no gain to the ArkSt 27,,
3rd and 10 at ARST 27,"APPALACHIAN ST Penalty, unsportsmanlike conduct (15 Yards) to the ArkSt 42 for a 1ST down",,
1st and 10 at ARST 42,Michael Gordon run for 2 yds to the ArkSt 44,,
2nd and 8 at ARST 44,Fredi Knighten sacked by Kennan Gilchrist for a loss of 5 yards to the ArkSt 39,,
3rd and 13 at ARST 39,Fredi Knighten pass incomplete,,
4th and 13 at ARST 39,"Stephen Hogan punt for 60 yds, downed at the AppSt 1",,
"ARST DRIVE TOTALS: 5 plays, 12 yards, 1:49"
Appalachian State at 12:10,,ASU,ASU
1st and 10 at APP 1,Terrence Upshaw run for 3 yds to the AppSt 4,6,13
2nd and 7 at APP 4,Terrence Upshaw run for 9 yds to the AppSt 13 for a 1ST down,,
1st and 10 at APP 13,Terrence Upshaw run for 5 yds to the AppSt 18,,
2nd and 5 at APP 18,Marcus Cox run for 8 yds to the AppSt 26 for a 1ST down,,
1st and 10 at APP 26,Marcus Cox run for 11 yds to the AppSt 37 for a 1ST down,,
1st and 10 at APP 37,Taylor Lamb run for no gain to the AppSt 37,,
2nd and 10 at APP 37,Marcus Cox run for 2 yds to the AppSt 39,,
3rd and 8 at APP 39,Taylor Lamb pass incomplete to Shaedon Meadors,,
4th and 8 at APP 39,"Bentlee Critcher punt for 53 yds , Blaise Taylor returns for 61 yds to the AppSt 31",,
"APP DRIVE TOTALS: 8 plays, 38 yards, 4:14"
Arkansas State at 7:56,,ASU,ASU
1st and 10 at APP 31,Fredi Knighten run for 7 yds to the AppSt 24,6,13
2nd and 3 at APP 24,Michael Gordon run for 12 yds to the AppSt 12 for a 1ST down,,
1st and 10 at APP 12,"Fredi Knighten pass complete to Tres Houston for 12 yds for a TD, (Luke Ferguson KICK)",6,20
"ARST DRIVE TOTALS: 3 plays, 31 yards, 0:46"
Appalachian State at 7:01,,ASU,ASU
,"Luke Ferguson kickoff for 59 yds , Bobo Beathard return for 8 yds to the AppSt 14",6,20
1st and 10 at APP 14,Terrence Upshaw run for no gain to the AppSt 14,,
2nd and 10 at APP 14,Taylor Lamb pass complete to Malachi Jones for 16 yds to the AppSt 30 for a 1ST down,,
1st and 10 at APP 30,"APPALACHIAN ST Penalty, false start (-5 Yards) to the AppSt 25",,
1st and 15 at APP 25,Taylor Lamb sacked by Carderious Dean for a loss of 5 yards to the AppSt 20,,
2nd and 20 at APP 20,Marcus Cox run for 5 yds to the AppSt 25,,
3rd and 15 at APP 25,Taylor Lamb pass complete to Bobo Beathard for 14 yds to the AppSt 39,,
4th and 1 at APP 39,Marcus Cox run for 4 yds to the AppSt 43 for a 1ST down,,
1st and 10 at APP 43,Taylor Lamb pass complete to Montez McGuire for 9 yds to the ArkSt 48,,
2nd and 1 at ARST 48,Marcus Cox run for 5 yds to the ArkSt 43 for a 1ST down,,
1st and 10 at ARST 43,"Lamb, Taylor pass incomplete to McElfresh, S. (Hunter, Money), PENALTY ASU pass interference (Hunter, Money) 15 yards to the ASU28, 1ST DOWN APP, NO PLAY. for a 1ST down",,
1st and 10 at ARST 28,"APPALACHIAN ST Penalty, false start (-5 Yards) to the ArkSt 33",,
1st and 15 at ARST 33,Marcus Cox run for 4 yds to the ArkSt 29,,
2nd and 11 at ARST 29,"Lamb, Taylor rush for 11 yards to the ASU18 (Woodson, Xavier), PENALTY APP HL (Collins, Parker) 10 yards to the ASU39, NO PLAY.",,
2nd and 21 at ARST 39,"Taylor Lamb run for 8 yds to the ArkSt 31 for a 1ST down ARKANSAS ST Penalty, personal foul (Xavier Woodson) to the ArkSt 16 for a 1ST down",,
1st and 10 at ARST 16,"Marcus Cox run for 15 yds Marcus Cox fumbled, recovered by ArkSt",,
"APP DRIVE TOTALS: 11 plays, 86 yards, 5:59"
Arkansas State at 1:02,,ASU,ASU
1st and 10 at ARST 20,Michael Gordon run for 3 yds to the ArkSt 23,6,20
,"Timeout APPALACHIAN ST, clock 00:55",,
2nd and 7 at ARST 23,Fredi Knighten pass incomplete to Tres Houston,,
3rd and 7 at ARST 23,Michael Gordon run for 3 yds to the ArkSt 26,,
4th and 4 at ARST 26,"Luke Ferguson punt for 11 yds, punt out-of-bounds at the ArkSt 37",,
"ARST DRIVE TOTALS: 3 plays, 6 yards, 0:26"
Appalachian State at 0:36,,ASU,ASU
1st and 10 at ARST 37,Taylor Lamb run for no gain to the ArkSt 37,6,20
2nd and 10 at ARST 37,Taylor Lamb pass complete to Simms McElfresh for 13 yds to the ArkSt 24 for a 1ST down,,
1st and 10 at ARST 24,"Taylor Lamb pass incomplete to Simms McElfresh, broken up by Money Hunter",,
,"Timeout APPALACHIAN ST, clock 00:11",,
2nd and 10 at ARST 24,"Taylor Lamb pass complete to Shaedon Meadors for 24 yds for a TD, (Bentlee Critcher KICK)",13,20
"APP DRIVE TOTALS: 4 plays, 37 yards, 0:31"
Arkansas State at 0:05,,ASU,ASU
,"Bentlee Critcher kickoff for 33 yds , Austin Copeland return for no gain to the ArkSt 32",13,20
1st and 10 at ARST 32,TEAM run for a loss of 2 yards to the ArkSt 30,,
,End of 2nd Quarter,,
"ARST DRIVE TOTALS: 1 play, -2 yards, 0:05"
3rd Quarter Play-by-Play
Appalachian State at 15:00,,ASU,ASU
,"Luke Ferguson kickoff for 53 yds , Isaiah Lewis return for 20 yds to the AppSt 32",13,20
1st and 10 at APP 32,Taylor Lamb pass complete to Simms McElfresh for 15 yds to the AppSt 47 for a 1ST down,,
1st and 10 at APP 47,Marcus Cox run for 6 yds to the ArkSt 47,,
2nd and 4 at ARST 47,Marcus Cox run for 15 yds to the ArkSt 32 for a 1ST down,,
1st and 10 at ARST 32,Marcus Cox run for 1 yd to the ArkSt 31,,
2nd and 9 at ARST 31,Taylor Lamb pass incomplete to Simms McElfresh,,
3rd and 9 at ARST 31,Marcus Cox run for 7 yds to the ArkSt 24,,
4th and 2 at ARST 24,Marcus Cox run for 2 yds to the ArkSt 22 for a 1ST down,,
1st and 10 at ARST 22,Isaiah Lewis run for a loss of 1 yard to the ArkSt 23,,
2nd and 11 at ARST 23,Marcus Cox run for 17 yds to the ArkSt 6 for a 1ST down,,
1st and Goal at ARST 6,Marcus Cox run for 5 yds to the ArkSt 1,,
2nd and Goal at ARST 1,"Taylor Lamb run for 1 yd for a TD, (Bentlee Critcher KICK)",20,20
"APP DRIVE TOTALS: 11 plays, 68 yards, 4:39"
Arkansas State at 10:08,,ASU,ASU
,"Bentlee Critcher kickoff for 53 yds , Daryl Rollins-Davis return for 27 yds to the ArkSt 39",20,20
1st and 10 at ARST 39,Michael Gordon run for 5 yds to the ArkSt 44,,
2nd and 5 at ARST 44,Michael Gordon run for a loss of 3 yards to the ArkSt 41,,
3rd and 8 at ARST 41,Fredi Knighten pass incomplete to Michael Gordon,,
4th and 8 at ARST 41,"Luke Ferguson punt for 44 yds, fair catch by Bobo Beathard at the AppSt 15",,
"ARST DRIVE TOTALS: 3 plays, 2 yards, 1:10"
Appalachian State at 8:58,,ASU,ASU
1st and 10 at APP 15,Terrence Upshaw run for 3 yds to the AppSt 18,20,20
2nd and 7 at APP 18,Taylor Lamb pass incomplete to Simms McElfresh,,
3rd and 7 at APP 18,Taylor Lamb pass complete to Terrence Upshaw for 20 yds to the AppSt 38 for a 1ST down,,
1st and 10 at APP 38,Terrence Upshaw run for a loss of 2 yards to the AppSt 36,,
2nd and 12 at APP 36,Marcus Cox run for 2 yds to the AppSt 38,,
3rd and 10 at APP 38,Taylor Lamb pass complete to Marcus Cox for 44 yds to the ArkSt 18 for a 1ST down,,
1st and 10 at ARST 18,Terrence Upshaw run for 4 yds to the ArkSt 14,,
2nd and 6 at ARST 14,"Marcus Cox run for 14 yds for a TD, (Bentlee Critcher KICK)",27,20
"APP DRIVE TOTALS: 8 plays, 85 yards, 3:47"
Arkansas State at 5:05,,ASU,ASU
,"Bentlee Critcher kickoff for 53 yds , Brandon Cox return for 12 yds to the ArkSt 24",27,20
1st and 10 at ARST 24,Johnston White run for 5 yds to the ArkSt 29,,
2nd and 5 at ARST 29,"Brandon Cox pass incomplete to Tres Houston, broken up by Latrell Gibbs",,
3rd and 5 at ARST 29,Fredi Knighten run for 4 yds to the ArkSt 33,,
,"Timeout ARKANSAS ST, clock 04:04",,
4th and 1 at ARST 33,Fredi Knighten run for 1 yd to the ArkSt 34 for a 1ST down,,
1st and 10 at ARST 34,"ARKANSAS ST Penalty, HL (Kenneth Rains) to the ArkSt 24",,
1st and 20 at ARST 24,Johnston White run for 5 yds to the ArkSt 29,,
2nd and 15 at ARST 29,Fredi Knighten pass incomplete to Johnston White,,
3rd and 15 at ARST 29,Fredi Knighten pass complete to Brandon Byner for 11 yds to the ArkSt 40,,
4th and 4 at ARST 40,Stephen Hogan punt for 60 yds for a touchback,,
"ARST DRIVE TOTALS: 7 plays, 16 yards, 2:42"
Appalachian State at 2:23,,ASU,ASU
1st and 10 at APP 20,Marcus Cox run for 6 yds to the AppSt 26,27,20
2nd and 4 at APP 26,Marcus Cox run for 10 yds to the AppSt 36 for a 1ST down,,
1st and 10 at APP 36,Terrence Upshaw run for a loss of 3 yards to the AppSt 33,,
2nd and 13 at APP 33,Taylor Lamb pass complete to Marcus Cox for 10 yds to the AppSt 43,,
,End of 3rd Quarter,,
4th Quarter Play-by-Play
Appalachian State at 15:00,,ASU,ASU
3rd and 3 at APP 43,Taylor Lamb pass complete to Simms McElfresh for 29 yds to the ArkSt 28 for a 1ST down,27,20
1st and 10 at ARST 28,Marcus Cox run for no gain to the ArkSt 28,,
2nd and 10 at ARST 28,Taylor Lamb run for 11 yds to the ArkSt 17 for a 1ST down,,
1st and 10 at ARST 17,"APPALACHIAN ST Penalty, false start (-5 Yards) to the ArkSt 22",,
1st and 15 at ARST 22,Marcus Cox run for 1 yd to the ArkSt 21,,
2nd and 14 at ARST 21,Marcus Cox run for 5 yds to the ArkSt 16,,
3rd and 9 at ARST 16,"Taylor Lamb pass complete to Montez McGuire for 16 yds for a TD, (Bentlee Critcher KICK)",34,20
"APP DRIVE TOTALS: 10 plays, 80 yards, 5:40"
Arkansas State at 11:38,,ASU,ASU
,"Bentlee Critcher kickoff for 44 yds , Kenneth Rains return for 9 yds to the ArkSt 30",34,20
1st and 10 at ARST 30,Michael Gordon run for 6 yds to the ArkSt 36,,
2nd and 4 at ARST 36,Johnston White run for 10 yds to the ArkSt 46 for a 1ST down,,
1st and 10 at ARST 46,Fredi Knighten pass complete to Tres Houston for 8 yds to the AppSt 46,,
2nd and 2 at APP 46,Fredi Knighten run for no gain to the AppSt 46,,
3rd and 2 at APP 46,Johnston White run for no gain to the AppSt 46,,
4th and 2 at APP 46,Fredi Knighten pass complete to Johnston White for a loss of 3 yards to the AppSt 49,,
"ARST DRIVE TOTALS: 6 plays, 21 yards, 2:30"
Appalachian State at 9:08,,ASU,ASU
1st and 10 at APP 49,Taylor Lamb run for 11 yds to the ArkSt 40 for a 1ST down,34,20
1st and 10 at ARST 40,Marcus Cox run for 1 yd to the ArkSt 39,,
2nd and 9 at ARST 39,Taylor Lamb pass incomplete,,
,"Timeout APPALACHIAN ST, clock 07:45",,
3rd and 9 at ARST 39,Taylor Lamb run for 11 yds to the ArkSt 28 for a 1ST down,,
1st and 10 at ARST 28,Marcus Cox run for 17 yds to the ArkSt 11 for a 1ST down,,
1st and 10 at ARST 11,Marcus Cox run for no gain to the ArkSt 11,,
2nd and 10 at ARST 11,Taylor Lamb run for 5 yds to the ArkSt 6,,
3rd and 5 at ARST 6,"Marcus Cox run for 3 yds to the ArkSt 7 Marcus Cox fumbled, forced by Sterling Young, recovered by AppSt Kendall Lamm",,
,"Timeout APPALACHIAN ST, clock 04:13",,
4th and 6 at ARST 7,Bentlee Critcher 24 yd FG GOOD,37,20
"APP DRIVE TOTALS: 9 plays, 44 yards, 4:58"
Arkansas State at 4:02,,ASU,ASU
,"Bentlee Critcher kickoff for 40 yds , Kenneth Rains return for 7 yds to the ArkSt 42 APPALACHIAN ST Penalty, personal foul (-16 Yards) to the ArkSt 48",37,20
1st and 10 at ARST 48,Fredi Knighten run for 5 yds to the AppSt 47,,
2nd and 5 at APP 47,Fredi Knighten pass complete to Tres Houston for 13 yds to the AppSt 34 for a 1ST down,,
1st and 10 at APP 34,Fredi Knighten pass complete to Tres Houston for 20 yds to the AppSt 14 for a 1ST down,,
1st and 10 at APP 14,Fredi Knighten pass incomplete to Tres Houston,,
2nd and 10 at APP 14,Fredi Knighten pass complete to Brandon Cox for 6 yds to the AppSt 8,,
3rd and 4 at APP 8,"Fredi Knighten pass incomplete, broken up by Eric Boggs",,
4th and 4 at APP 8,Fredi Knighten pass incomplete to Tres Houston,,
"ARST DRIVE TOTALS: 7 plays, 44 yards, 1:29"
Appalachian State at 2:33,,ASU,ASU
1st and 10 at APP 8,"Terrence Upshaw run for 2 yds to the AppSt 10 Terrence Upshaw fumbled, forced by Clifford Thomas, recovered by ArkSt Chris Stone",37,20
"APP DRIVE TOTALS: 1 play, 2 yards, 0:11"
Arkansas State at 2:22,,ASU,ASU
1st and Goal at APP 10,Darion Griswold 10 Yd pass from Fredi Knighten (Luke Ferguson PAT failed),37,26
"ARST DRIVE TOTALS: 1 play, 10 yards, 0:05"
Arkansas State at 2:16,,ASU,ASU
,Luke Ferguson on-side kick recovered by ARKANSAS ST at the ArkSt 47,37,26
1st and 10 at ARST 47,"Fredi Knighten pass incomplete, broken up by John Law",,
2nd and 10 at ARST 47,Fredi Knighten pass complete to Dijon Paschal for 14 yds to the AppSt 39 for a 1ST down,,
1st and 10 at APP 39,"Fredi Knighten run for 22 yds to the AppSt 17 for a 1ST down APPALACHIAN ST Penalty, face mask (8 yards) (Latrell Gibbs) to the AppSt 9 for a 1ST down",,
1st and Goal at APP 9,"Fredi Knighten pass complete to Johnston White for 9 yds for a TD, (Two-Point Conversion failed )",37,32
1st and Goal at APP 3,Fredi Knighten pass incomplete to Darion Griswold,,
"ARST DRIVE TOTALS: 4 plays, 53 yards, 0:45"
Appalachian State at 1:21,,ASU,ASU
,Luke Ferguson on-side kick recovered by APPALACHIAN ST at the ArkSt 37,37,32
1st and 10 at ARST 37,Marcus Cox run for 3 yds to the ArkSt 34,,
2nd and 7 at ARST 34,Marcus Cox run for 2 yds to the ArkSt 32,,
,"Timeout ARKANSAS ST, clock 01:20",,
,"Timeout ARKANSAS ST, clock 01:14",,
3rd and 5 at ARST 32,Marcus Cox run for a loss of 2 yards to the ArkSt 34,,
,"Timeout APPALACHIAN ST, clock 00:29",,
4th and 7 at ARST 34,Bentlee Critcher punt for 34 yds for a touchback,,
"APP DRIVE TOTALS: 3 plays, 3 yards, 0:59"
Arkansas State at 0:22,,ASU,ASU
1st and 10 at ARST 20,Fredi Knighten pass complete to Darion Griswold for 21 yds to the ArkSt 41 for a 1ST down,37,32
1st and 10 at ARST 41,Fredi Knighten pass incomplete to Tres Houston,,
2nd and 10 at ARST 41,"Fredi Knighten pass incomplete to Dijon Paschal, broken up by Doug Middleton",,
3rd and 10 at ARST 41,"Fredi Knighten pass complete to Dijon Paschal for 13 yds to the AppSt 41 lat. to Tres Houston for 5 yds Tres Houston fumbled, recovered by AppSt Ronald Blair",,
,End of 4th Quarter,,
"ARST DRIVE TOTALS: 4 plays, 39 yards, 0:22"
