2.53067E+14,,253,670
2nd and 10 at TXST 42,Tyler Jones pass complete to Bradley Miller for 11 yds to the GeoSo 47 for a 1ST down,,
1st and 10 at GASO 47,Terrence Franks run for 9 yds to the GeoSo 38,,
2nd and 1 at GASO 38,Terrence Franks run for 3 yds to the GeoSo 35 for a 1ST down,,
1st and 10 at GASO 35,Tyler Jones sacked by Bernard Dawson for a loss of 5 yards to the GeoSo 40,,
2nd and 15 at GASO 40,"Jones,Tyler sideline pass complete to Gunter,Brice for 7 yards to the GSU33 (Williams, Caleb), PENALTY TXST pass interference (Franks, Terrence) 15 yards to the TXST45, NO PLAY.",,
2nd and 30 at TXST 45,Tyler Jones sacked by Quaun Daniels for a loss of 9 yards to the TexSt 36,,
3rd and 39 at TXST 36,"Tyler Jones pass incomplete to Bradley Miller for a 1ST down GA SOUTHERN Penalty, personal foul (Matt Dobson) to the GeoSo 49 for a 1ST down",,
1st and 10 at GASO 49,Tyler Jones run for 5 yds to the GeoSo 44,,
2nd and 5 at GASO 44,Tyler Jones pass complete to Bradley Miller for 12 yds to the GeoSo 32 for a 1ST down,,
1st and 10 at GASO 32,Robert Lowe run for no gain to the GeoSo 32,,
2nd and 10 at GASO 32,"Tyler Jones pass complete to Ryan Carden for 32 yds for a TD, (Will Johnson KICK)",21,10
"TXST DRIVE TOTALS: 11 plays, 58 yards, 3:52",,,
Georgia Southern at 6:05,,GSU,TST
,Will Johnson kickoff for 65 yds for a touchback,21,10
1st and 10 at GASO 25,Matt Breida run for 1 yd to the GeoSo 26,,
2nd and 9 at GASO 26,Kevin Ellison run for 6 yds to the GeoSo 32,,
,"Timeout GA SOUTHERN, clock 04:40",,
3rd and 3 at GASO 32,Alfred Ramsby run for 1 yd to the GeoSo 33,,
4th and 2 at GASO 33,"Ryan Nowicki punt for 22 yds, downed at the TexSt 45",,
"GASO DRIVE TOTALS: 3 plays, 8 yards, 2:13",,,
Texas State at 3:52,,GSU,TST
1st and 10 at TXST 45,Tyler Jones run for 6 yds to the GeoSo 49,21,10
2nd and 4 at GASO 49,Tyler Jones pass complete to Brandon Smith for 23 yds to the GeoSo 26 for a 1ST down,,
