1st and 10 at IDHO 14,Matt Linehan run for 10 yds to the Idaho 24 for a 1ST down,7,0
1st and 10 at IDHO 24,Matt Linehan pass complete to Joshua McCain for 16 yds to the Idaho 40 for a 1ST down,,
1st and 10 at IDHO 40,Jerrel Brown run for 14 yds to the ArkSt 46 for a 1ST down,,
1st and 10 at ARST 46,Matt Linehan pass incomplete to Richard Montgomery,,
2nd and 10 at ARST 46,Matt Linehan pass complete to Jacob Sannon for 10 yds to the ArkSt 36 for a 1ST down,,
1st and 10 at ARST 36,Matt Linehan run for 7 yds to the ArkSt 29,,
2nd and 3 at ARST 29,Matt Linehan pass complete to Jacob Sannon for 10 yds to the ArkSt 19 for a 1ST down,,
,"Timeout ARKANSAS ST, clock 12:26",,
1st and 10 at ARST 19,Jerrel Brown run for no gain to the ArkSt 19,,
2nd and 10 at ARST 19,Matt Linehan pass complete to Jake Manley for 8 yds to the ArkSt 11,,
3rd and 2 at ARST 11,Elijhaa Penny run for 2 yds to the ArkSt 9 for a 1ST down,,
,"Timeout ARKANSAS ST, clock 11:06",,
1st and Goal at ARST 9,Matt Linehan pass complete to Joshua McCain for 2 yds to the ArkSt 7,,
2nd and Goal at ARST 7,"Matt Linehan run for no gain, Matt Linehan fumbled, forced by Xavier Woodson, recovered by ArkSt Rocky Hayes , return for 93 yds for a TD, (Luke Ferguson KICK)",14,0
"IDHO DRIVE TOTALS: 12 plays, 79 yards, 4:28"
Idaho at 10:23,,ASU,IDA
,Luke Ferguson kickoff for 65 yds for a touchback,14,0
1st and 10 at IDHO 25,Matt Linehan pass complete to Elijhaa Penny for 5 yds to the Idaho 30,,
2nd and 5 at IDHO 30,Elijhaa Penny run for 14 yds to the Idaho 44 for a 1ST down,,
1st and 10 at IDHO 44,Matt Linehan run for 10 yds to the ArkSt 46 for a 1ST down,,
1st and 10 at ARST 46,Matt Linehan run for 2 yds to the ArkSt 44,,
2nd and 8 at ARST 44,"Linehan, Matt pass incomplete to McCain, Joshua, PENALTY ARKST holding (Tryon, Andrew) 10 yards to the ARKST34, NO PLAY, 1ST DOWN IDAHO. for a 1ST down",,
1st and 10 at ARST 34,Elijhaa Penny run for 6 yds to the ArkSt 28,,
2nd and 4 at ARST 28,Elijhaa Penny run for 27 yds to the ArkSt 1 for a 1ST down,,
1st and Goal at ARST 1,"Elijhaa Penny run for 1 yd for a TD, (Austin Rehkow KICK)",14,7
"IDHO DRIVE TOTALS: 7 plays, 75 yards, 2:34"
Idaho at 7:49,,ASU,IDA
,"Austin Rehkow kickoff for 65 yds , Brandon Cox return for 30 yds to the ArkSt 30 Brandon Cox fumbled, forced by Juan Martinez, recovered by Idaho Tom Hennessey",14,7
1st and 10 at ARST 30,"Matt Linehan run for a loss of 4 yards to the ArkSt 34 Matt Linehan fumbled, recovered by ArkSt Dexter Blackmon",,
"IDHO DRIVE TOTALS: 1 play, 0 yards"
Arkansas State at 7:33,,ASU,IDA
1st and 10 at ARST 34,"ARKANSAS ST Penalty, False Start (Alan Wright) to the ArkSt 29",14,7
1st and 15 at ARST 29,Michael Gordon run for no gain to the ArkSt 29,,
2nd and 15 at ARST 29,Michael Gordon run for 1 yd to the ArkSt 30,,
3rd and 14 at ARST 30,Fredi Knighten sacked by Marc Millan for a loss of 6 yards to the ArkSt 24,,
4th and 20 at ARST 24,"ARKANSAS ST Penalty, Illegal Formation (-5 Yards) to the ArkSt 19",,
4th and 25 at ARST 19,"Luke Ferguson punt for 38 yds , David Ungerer returns for 24 yds to the ArkSt 33",,
"ARST DRIVE TOTALS: 3 plays, -15 yards, 1:57"
Idaho at 5:36,,ASU,IDA
1st and 10 at ARST 33,Elijhaa Penny run for 9 yds to the ArkSt 24,14,7
2nd and 1 at ARST 24,Chad Chalich run for a loss of 3 yards to the ArkSt 27,,
,"Timeout IDAHO, clock 04:46",,
3rd and 4 at ARST 27,Chad Chalich pass complete to Deon Watson for 7 yds to the ArkSt 20 for a 1ST down,,
1st and 10 at ARST 20,Elijhaa Penny run for 2 yds to the ArkSt 18,,
2nd and 8 at ARST 18,Elijhaa Penny run for 10 yds to the ArkSt 8 for a 1ST down,,
1st and Goal at ARST 8,"Jerrel Brown run for 8 yds for a TD, (Austin Rehkow KICK)",14,14
"IDHO DRIVE TOTALS: 6 plays, 33 yards, 2:19"
Arkansas State at 3:17,,ASU,IDA
,Austin Rehkow kickoff for 65 yds for a touchback,14,14
1st and 10 at ARST 25,Fredi Knighten pass complete to J.D. McKissic for 30 yds to the Idaho 45 for a 1ST down,,
1st and 10 at IDHO 45,Fredi Knighten run for 5 yds to the Idaho 40,,
2nd and 5 at IDHO 40,Fredi Knighten run for 2 yds to the Idaho 38,,
3rd and 3 at IDHO 38,Fredi Knighten pass complete to Tres Houston for 9 yds to the Idaho 29 for a 1ST down,,
1st and 10 at IDHO 29,Fredi Knighten pass incomplete to Dijon Paschal,,
2nd and 10 at IDHO 29,Fredi Knighten run for 6 yds to the Idaho 23,,
3rd and 4 at IDHO 23,Fredi Knighten pass complete to Darion Griswold for 7 yds to the Idaho 16 for a 1ST down,,
1st and 10 at IDHO 16,Fredi Knighten run for 3 yds to the Idaho 13,,
2nd and 7 at IDHO 13,Fredi Knighten run for 2 yds to the Idaho 11,,
3rd and 5 at IDHO 11,Fredi Knighten pass incomplete,,
4th and 5 at IDHO 11,Luke Ferguson 28 yd FG GOOD,17,14
"ARST DRIVE TOTALS: 11 plays, 64 yards, 3:10"
Idaho at 0:07,,ASU,IDA
,"Luke Ferguson kickoff for 55 yds , Elijhaa Penny return for 5 yds to the Idaho 15",17,14
1st and 10 at IDHO 15,Jerrel Brown run for 34 yds to the Idaho 49 for a 1ST down,,
,End of 2nd Quarter,,
"IDHO DRIVE TOTALS: 1 play, 34 yards, 0:07"
3rd Quarter Play-by-Play
Idaho at 15:00,,ASU,IDA
,"Luke Ferguson kickoff for 62 yds , Richard Montgomery return for 19 yds to the Idaho 22",17,14
1st and 10 at IDHO 22,Chad Chalich pass complete to Richard Montgomery for 39 yds to the ArkSt 39 for a 1ST down,,
1st and 10 at ARST 39,Jerrel Brown run for 2 yds to the ArkSt 37,,
2nd and 8 at ARST 37,Chad Chalich run for a loss of 2 yards to the ArkSt 39,,
3rd and 10 at ARST 39,Chad Chalich pass incomplete,,
4th and 10 at ARST 39,Austin Rehkow 56 yd FG MISSED,,
"IDHO DRIVE TOTALS: 5 plays, 39 yards, 1:41"
Arkansas State at 13:19,,ASU,IDA
1st and 10 at ARST 39,Michael Gordon run for 6 yds to the ArkSt 45,17,14
2nd and 4 at ARST 45,Fredi Knighten run for 3 yds to the ArkSt 48,,
3rd and 1 at ARST 48,Michael Gordon run for no gain to the ArkSt 48,,
4th and 1 at ARST 48,"Luke Ferguson punt for 38 yds, fair catch by David Ungerer at the Idaho 14",,
"ARST DRIVE TOTALS: 3 plays, 9 yards, 1:37"
Idaho at 11:42,,ASU,IDA
1st and 10 at IDHO 14,Chad Chalich pass complete to Joshua McCain for 35 yds to the Idaho 49 for a 1ST down,17,14
1st and 10 at IDHO 49,Elijhaa Penny run for 12 yds to the ArkSt 39 for a 1ST down,,
1st and 10 at ARST 39,Chad Chalich pass incomplete to Deon Watson,,
2nd and 10 at ARST 39,Chad Chalich run for 21 yds to the ArkSt 18 for a 1ST down,,
1st and 10 at ARST 18,Elijhaa Penny run for 9 yds to the ArkSt 9,,
2nd and 1 at ARST 9,Elijhaa Penny run for 3 yds to the ArkSt 6 for a 1ST down,,
1st and Goal at ARST 6,Chad Chalich run for 4 yds to the ArkSt 2,,
2nd and Goal at ARST 2,"Elijhaa Penny run for 2 yds for a TD, (Austin Rehkow KICK)",17,21
"IDHO DRIVE TOTALS: 8 plays, 86 yards, 2:39"
Arkansas State at 9:03,,ASU,IDA
,"Austin Rehkow kickoff for 64 yds , Daryl Rollins-Davis return for 16 yds to the IDAHO 49 ARKANSAS ST Penalty, Illegal Block (Brock Barnhill) to the ArkSt 8",17,21
1st and 10 at ARST 8,Fredi Knighten run for a loss of 2 yards to the ArkSt 6,,
2nd and 12 at ARST 6,Michael Gordon run for a loss of 4 yards to the ArkSt 2,,
3rd and 16 at ARST 2,Fredi Knighten run for 6 yds to the ArkSt 8,,
4th and 10 at ARST 8,"Luke Ferguson punt for 43 yds , Richard Montgomery returns for no gain to the Idaho 46 Richard Montgomery fumbled, recovered by ArkSt Andrew Tryon",,
"ARST DRIVE TOTALS: 3 plays, 0 yards, 2:03"
Arkansas State at 7:00,,ASU,IDA
1st and 10 at IDHO 46,Fredi Knighten pass complete to Tres Houston for 39 yds to the Idaho 7 for a 1ST down,17,21
1st and Goal at IDHO 7,"Michael Gordon run for 7 yds for a TD, (Luke Ferguson KICK)",24,21
"ARST DRIVE TOTALS: 2 plays, 46 yards, 0:26"
Idaho at 6:34,,ASU,IDA
,Luke Ferguson kickoff for 65 yds for a touchback,24,21
1st and 10 at IDHO 25,Chad Chalich pass complete to Richard Montgomery for 11 yds to the Idaho 36 for a 1ST down,,
1st and 10 at IDHO 36,Jerrel Brown run for 1 yd to the Idaho 37,,
2nd and 9 at IDHO 37,Elijhaa Penny run for 3 yds to the Idaho 40,,
3rd and 6 at IDHO 40,Chad Chalich pass complete to Jacob Sannon for 10 yds to the 50 yard line for a 1ST down,,
1st and 10 at 50,Elijhaa Penny run for 8 yds to the ArkSt 42,,
2nd and 2 at ARST 42,Chad Chalich pass complete to Joshua McCain for 11 yds to the ArkSt 31 for a 1ST down,,
1st and 10 at ARST 31,"ARKANSAS ST Penalty, Defensive Pass Interference (Andrew Tryon) to the ArkSt 20 for a 1ST down",,
1st and 10 at ARST 20,Jerrel Brown run for 4 yds to the ArkSt 16,,
2nd and 6 at ARST 16,"Jerrel Brown run for 16 yds for a TD, (Austin Rehkow KICK)",24,28
"IDHO DRIVE TOTALS: 8 plays, 75 yards, 3:36"
Arkansas State at 2:58,,ASU,IDA
,"Austin Rehkow kickoff for 49 yds , Daryl Rollins-Davis return for 26 yds to the ArkSt 42",24,28
1st and 10 at ARST 42,Fredi Knighten sacked by Quinton Bradley for a loss of 2 yards to the ArkSt 40,,
2nd and 12 at ARST 40,Fredi Knighten run for 2 yds to the ArkSt 42,,
3rd and 10 at ARST 42,Fredi Knighten pass complete to Dijon Paschal for 13 yds to the Idaho 45 for a 1ST down,,
1st and 10 at IDHO 45,Fredi Knighten pass complete to Tres Houston for 15 yds to the Idaho 30 for a 1ST down,,
1st and 10 at IDHO 30,Fredi Knighten pass complete to Daryl Rollins-Davis for 18 yds to the Idaho 12 for a 1ST down,,
1st and 10 at IDHO 12,Fredi Knighten run for no gain to the Idaho 12,,
2nd and 10 at IDHO 12,Fredi Knighten pass complete to Tres Houston for 11 yds to the Idaho 1 for a 1ST down,,
1st and Goal at IDHO 1,"Michael Gordon run for 1 yd for a TD, (Luke Ferguson PAT MISSED)",30,28
"ARST DRIVE TOTALS: 8 plays, 58 yards, 2:51"
Idaho at 0:07,,ASU,IDA
,Luke Ferguson kickoff for 65 yds for a touchback,30,28
1st and 10 at IDHO 25,Elijhaa Penny run for 3 yds to the Idaho 28,,
,End of 3rd Quarter,,
4th Quarter Play-by-Play
Idaho at 15:00,,ASU,IDA
2nd and 7 at IDHO 28,"Chalich, Chad pass incomplete, PENALTY IDAHO personal foul 14 yards to the IDAHO14, NO PLAY.",30,28
3rd and 21 at IDHO 14,Elijhaa Penny run for 16 yds to the Idaho 30,,
4th and 5 at IDHO 30,"Austin Rehkow punt for 49 yds , Blaise Taylor returns for 3 yds to the ArkSt 33 ARKANSAS ST Penalty, Illegal Block (Booker Mays) to the ArkSt 12",,
"IDHO DRIVE TOTALS: 2 plays, 5 yards, 1:09"
Arkansas State at 13:58,,ASU,IDA
1st and 10 at ARST 12,Fredi Knighten pass complete to Darion Griswold for 8 yds to the ArkSt 20,30,28
2nd and 2 at ARST 20,Michael Gordon run for 2 yds to the ArkSt 22 for a 1ST down,,
1st and 10 at ARST 22,Fredi Knighten run for no gain to the ArkSt 22,,
2nd and 10 at ARST 22,Fredi Knighten pass complete to Michael Gordon for 5 yds to the ArkSt 27,,
3rd and 5 at ARST 27,Fredi Knighten pass complete to Daryl Rollins-Davis for 10 yds to the ArkSt 37 for a 1ST down,,
1st and 10 at ARST 37,Fredi Knighten pass complete to Daryl Rollins-Davis for 7 yds to the ArkSt 44,,
2nd and 3 at ARST 44,Fredi Knighten run for 6 yds to the 50 yard line for a 1ST down,,
1st and 10 at 50,Tres Houston pass incomplete,,
2nd and 10 at 50,Fredi Knighten sacked by Kaylyn Ayers for a loss of 6 yards to the ArkSt 44,,
3rd and 16 at ARST 44,Fredi Knighten pass complete to Michael Gordon for 35 yds to the Idaho 21 for a 1ST down,,
1st and 10 at IDHO 21,Fredi Knighten run for a loss of 2 yards to the Idaho 23,,
2nd and 12 at IDHO 23,Fredi Knighten pass incomplete to Johnston White,,
3rd and 12 at IDHO 23,Fredi Knighten pass incomplete to Booker Mays,,
4th and 12 at IDHO 23,Luke Ferguson 40 yd FG MISSED,,
"ARST DRIVE TOTALS: 14 plays, 65 yards, 4:39"
Idaho at 9:19,,ASU,IDA
1st and 10 at IDHO 23,Jerrel Brown run for 2 yds to the Idaho 25,30,28
2nd and 8 at IDHO 25,Chad Chalich pass intercepted Artez Brown return for no gain to the Idaho 38,,
"IDHO DRIVE TOTALS: 2 plays, 2 yards, 0:38"
Arkansas State at 8:41,,ASU,IDA
1st and 10 at IDHO 38,Fredi Knighten pass complete to Brandon Cox for 9 yds to the Idaho 29,30,28
2nd and 1 at IDHO 29,Fredi Knighten run for 11 yds to the Idaho 18 for a 1ST down,,
1st and 10 at IDHO 18,"ARKANSAS ST Penalty, False Start (-5 Yards) to the Idaho 23",,
1st and 15 at IDHO 23,"Michael Gordon run for 23 yds for a TD, (Luke Ferguson KICK)",37,28
"ARST DRIVE TOTALS: 3 plays, 38 yards, 1:00"
Idaho at 7:41,,ASU,IDA
,Luke Ferguson kickoff for 65 yds for a touchback,37,28
1st and 10 at IDHO 25,"IDAHO Penalty, False Start (Buck Cowan) to the Idaho 20",,
1st and 15 at IDHO 20,"IDAHO Penalty, Offensive Holding (Jesse Davis) to the Idaho 10",,
1st and 25 at IDHO 10,"IDAHO Penalty, Offensive Holding (Jordan Rose) to the Idaho 5",,
1st and 30 at IDHO 5,"Jerrel Brown run for 5 yds to the Idaho 8 Jerrel Brown fumbled, recovered by ArkSt Darrius Rosser",,
"IDHO DRIVE TOTALS: 1 play, -15 yards, 0:36"
Arkansas State at 7:05,,ASU,IDA
1st and Goal at IDHO 8,Fredi Knighten run for 4 yds to the Idaho 4,37,28
2nd and Goal at IDHO 4,"Michael Gordon run for 4 yds for a TD, (Luke Ferguson KICK)",44,28
"ARST DRIVE TOTALS: 2 plays, 8 yards, 0:30"
Idaho at 6:35,,ASU,IDA
,Luke Ferguson kickoff for 65 yds for a touchback,44,28
1st and 10 at IDHO 25,Matt Linehan pass complete to Justin Podrabsky for 10 yds to the Idaho 35 for a 1ST down,,
1st and 10 at IDHO 35,Elijhaa Penny run for 2 yds to the Idaho 37,,
2nd and 8 at IDHO 37,"Matt Linehan sacked by u""Ja'Von Rolland-Jones"",  for a loss of 3 yards to the Idaho 34",,
3rd and 11 at IDHO 34,"Matt Linehan sacked by u""Ja'Von Rolland-Jones"",  for a loss of 8 yards to the Idaho 26",,
4th and 19 at IDHO 26,"Austin Rehkow punt for 52 yds, fair catch by Blaise Taylor at the ArkSt 22",,
"IDHO DRIVE TOTALS: 4 plays, 1 yard, 1:55"
Arkansas State at 4:40,,ASU,IDA
1st and 10 at ARST 22,"ARKANSAS ST Penalty, Offensive Holding (-10 Yards) to the ArkSt 12",44,28
1st and 20 at ARST 12,Michael Gordon run for a loss of 1 yard to the ArkSt 11,,
2nd and 21 at ARST 11,Fredi Knighten run for 1 yd to the ArkSt 12,,
,"Timeout IDAHO, clock 03:21",,
3rd and 20 at ARST 12,Michael Gordon run for 13 yds to the ArkSt 25,,
,"Timeout IDAHO, clock 03:14",,
4th and 7 at ARST 25,"Luke Ferguson punt for 37 yds, punt out-of-bounds at the Idaho 38",,
"ARST DRIVE TOTALS: 3 plays, 3 yards, 1:35"
Idaho at 3:05,,ASU,IDA
1st and 10 at IDHO 38,Matt Linehan pass complete to Richard Montgomery for 3 yds to the Idaho 41,44,28
2nd and 7 at IDHO 41,Matt Linehan pass incomplete,,
3rd and 7 at IDHO 41,Matt Linehan pass incomplete to Elijhaa Penny,,
4th and 7 at IDHO 41,"Matt Linehan sacked by u""Ja'Von Rolland-Jones"",  for a loss of 5 yards to the Idaho 36",,
"IDHO DRIVE TOTALS: 4 plays, -2 yards, 0:28"
Arkansas State at 2:37,,ASU,IDA
1st and 10 at IDHO 36,"ARKANSAS ST Penalty, Illegal Block (Kyle Harris) to the Idaho 46",44,28
1st and 20 at IDHO 46,"IDAHO Penalty, Personal Foul (Jayshawn Jordan) to the Idaho 39 for a 1ST down",,
1st and 10 at IDHO 39,"IDAHO Penalty, Personal Foul (18 Yards) to the Idaho 21 for a 1ST down",,
1st and 10 at IDHO 21,Terrance Hollingsworth run for 6 yds to the Idaho 15,,
2nd and 4 at IDHO 15,"ARKANSAS ST Penalty, Illegal Block (Kyle Harris) to the Idaho 30",,
2nd and 19 at IDHO 30,Brandon Byner run for a loss of 3 yards to the Idaho 33,,
3rd and 22 at IDHO 33,Terrance Hollingsworth run for 3 yds to the Idaho 30,,
,"Timeout IDAHO, clock 00:29",,
4th and 19 at IDHO 30,Terrance Hollingsworth run for 14 yds to the Idaho 16,,
"ARST DRIVE TOTALS: 4 plays, 20 yards, 2:14"
Idaho at 0:23,,ASU,IDA
1st and 10 at IDHO 16,Matt Linehan pass incomplete,44,28
2nd and 10 at IDHO 16,Matt Linehan pass incomplete,,
3rd and 10 at IDHO 16,Matt Linehan pass incomplete to Buck Cowan,,
4th and 10 at IDHO 16,Matt Linehan pass intercepted Frankie Jackson return for 4 yds to the Idaho 23,,
,End of 4th Quarter,,
"IDHO DRIVE TOTALS: 4 plays, 0 yards, 0:23"
