3rd and 6 at APP 46,Nick Arbuckle pass incomplete to Donovan Harden,,
4th and 6 at APP 46,"Matt Hubbard punt for 36 yds, punt out-of-bounds at the AppSt 10",,
"GAST DRIVE TOTALS: 7 plays, 25 yards, 3:07"
Appalachian State at 7:46,,GSU,ASU
1st and 10 at APP 10,Marcus Cox run for 39 yds to the AppSt 49 for a 1ST down,0,7
1st and 10 at APP 49,Taylor Lamb pass incomplete,,
2nd and 10 at APP 49,Ricky Fergerson run for no gain to the AppSt 49,,
3rd and 10 at APP 49,"Taylor Lamb pass complete to Bobo Beathard for 10 yds to the APPALCHAN 41 for a 1ST down GEORGIA ST Penalty, Defensive offside ( Yards) declined for a 1ST down",,
1st and 10 at GAST 41,Marcus Cox run for 19 yds to the GeoSt 22 for a 1ST down,,
1st and 10 at GAST 22,Taylor Lamb pass complete to Simms McElfresh for 9 yds to the GeoSt 13,,
2nd and 1 at GAST 13,Marcus Cox run for 4 yds to the GeoSt 9 for a 1ST down,,
1st and Goal at GAST 9,"APPALACHIAN ST Penalty, false start (-5 Yards) to the GeoSt 14",,
1st and Goal at GAST 14,Marcus Cox run for 1 yd to the GeoSt 13,,
2nd and Goal at GAST 13,Taylor Lamb pass complete to Marcus Cox for 4 yds to the GeoSt 9,,
3rd and Goal at GAST 9,"Taylor Lamb run for 9 yds for a TD, (Bentlee Critcher PAT MISSED)",0,13
"APP DRIVE TOTALS: 10 plays, 90 yards, 3:53"
Georgia State at 3:53,,GSU,ASU
,Bentlee Critcher kickoff for 65 yds for a touchback,0,13
1st and 10 at GAST 25,Marcus Caffey run for no gain to the GeoSt 25,,
2nd and 10 at GAST 25,Nick Arbuckle sacked by Olawale Dada for a loss of 4 yards to the GeoSt 21,,
3rd and 14 at GAST 21,Marcus Caffey run for 11 yds to the GeoSt 32,,
4th and 3 at GAST 32,"Matt Hubbard punt for 28 yds, fair catch by Simms McElfresh at the AppSt 40",,
"GAST DRIVE TOTALS: 3 plays, 7 yards, 1:48"
Appalachian State at 2:05,,GSU,ASU
1st and 10 at APP 40,Ricky Fergerson run for 8 yds to the AppSt 48,0,13
2nd and 2 at APP 48,Taylor Lamb pass incomplete,,
3rd and 2 at APP 48,Ricky Fergerson run for 2 yds to the 50 yard line for a 1ST down,,
1st and 10 at 50,Ricky Fergerson run for a loss of 5 yards to the AppSt 45,,
2nd and 15 at APP 45,Taylor Lamb run for 1 yd to the AppSt 46,,
3rd and 14 at APP 46,Ricky Fergerson run for 12 yds to the GeoSt 42,,
,End of 1st Quarter,,
2nd Quarter Play-by-Play
Appalachian State at 15:00,,GSU,ASU
4th and 2 at GAST 42,Ricky Fergerson run for 1 yd to the GeoSt 41,0,13
"APP DRIVE TOTALS: 7 plays, 19 yards, 2:12"
Georgia State at 14:53,,GSU,ASU
1st and 10 at GAST 41,Nick Arbuckle pass incomplete,0,13
2nd and 10 at GAST 41,"GEORGIA ST Penalty, false start (-5 Yards) to the GeoSt 36",,
2nd and 15 at GAST 36,Duvall Smith run for a loss of 1 yard to the GeoSt 35,,
3rd and 16 at GAST 35,"Duvall Smith run for a loss of 2 yards to the GeoSt 18 Duvall Smith fumbled, forced by Olawale Dada, recovered by AppSt John Law  , return for 17 yds to the GeoSt 18",,
"GAST DRIVE TOTALS: 3 plays, -6 yards, 0:58"
Appalachian State at 13:55,,GSU,ASU
1st and 10 at GAST 18,Marcus Cox run for 2 yds to the GeoSt 16,0,13
2nd and 8 at GAST 16,"APPALACHIAN ST Penalty, illegal forward pass (Taylor Lamb) to the GeoSt 19",,
3rd and 11 at GAST 19,"Taylor Lamb pass complete to Malachi Jones for 13 yds to the GeoSt 6 for a 1ST down GEORGIA ST Penalty, Defensive offside ( Yards) declined for a 1ST down",,
1st and Goal at GAST 6,"Marcus Cox run for 6 yds for a TD, (Bentlee Critcher KICK)",0,20
"APP DRIVE TOTALS: 3 plays, 18 yards, 1:20"
Georgia State at 12:31,,GSU,ASU
,"Bentlee Critcher kickoff for 33 yds , Nate Paxton return for no gain to the GeoSt 32",0,20
1st and 10 at GAST 32,Nick Arbuckle sacked by Deuce Robinson for a loss of 4 yards to the GeoSt 28,,
2nd and 14 at GAST 28,Nick Arbuckle pass complete to Avery Sweeting for 5 yds to the GeoSt 33,,
3rd and 9 at GAST 33,Nick Arbuckle sacked by Deuce Robinson and Eric Boggs for a loss of 5 yards to the GeoSt 28,,
4th and 14 at GAST 28,"Matt Hubbard punt for 52 yds , Bobo Beathard returns for no gain to the AppSt 20",,
"GAST DRIVE TOTALS: 3 plays, -4 yards, 2:06"
Appalachian State at 10:25,,GSU,ASU
1st and 10 at APP 20,Marcus Cox run for no gain to the AppSt 20,0,20
2nd and 10 at APP 20,Marcus Cox run for 12 yds to the AppSt 32 for a 1ST down,,
1st and 10 at APP 32,Marcus Cox run for 4 yds to the AppSt 36,,
2nd and 6 at APP 36,Marcus Cox run for 7 yds to the AppSt 43 for a 1ST down,,
1st and 10 at APP 43,Ricky Fergerson run for no gain to the AppSt 43,,
2nd and 10 at APP 43,Ricky Fergerson run for 12 yds to the GeoSt 45 for a 1ST down,,
1st and 10 at GAST 45,Bobo Beathard run for 10 yds to the GeoSt 35 for a 1ST down,,
1st and 10 at GAST 35,Taylor Lamb run for 1 yd to the GeoSt 34,,
2nd and 9 at GAST 34,Taylor Lamb pass incomplete to Malachi Jones,,
3rd and 9 at GAST 34,Taylor Lamb pass complete to Simms McElfresh for 7 yds to the GeoSt 27,,
4th and 2 at GAST 27,Marcus Cox run for 2 yds to the GeoSt 25 for a 1ST down,,
1st and 10 at GAST 25,"APPALACHIAN ST Penalty, false start (-5 Yards) to the GeoSt 30",,
1st and 15 at GAST 30,Marcus Cox run for 3 yds to the GeoSt 27,,
2nd and 12 at GAST 27,Taylor Lamb pass complete to Marcus Cox for no gain to the GeoSt 27,,
3rd and 12 at GAST 27,Taylor Lamb pass incomplete to Malachi Jones,,
4th and 12 at GAST 27,Bentlee Critcher 44 yd FG MISSED,,
"APP DRIVE TOTALS: 15 plays, 53 yards, 7:05"
Georgia State at 3:20,,GSU,ASU
1st and 10 at GAST 27,Nick Arbuckle pass incomplete,0,20
2nd and 10 at GAST 27,"GEORGIA ST Penalty, false start (Joel Ruiz) to the GeoSt 22",,
2nd and 15 at GAST 22,Nick Arbuckle pass incomplete to Donovan Harden,,
3rd and 15 at GAST 22,Nick Arbuckle pass complete to Donovan Harden for 6 yds to the GeoSt 28,,
4th and 9 at GAST 28,"Matt Hubbard punt for 10 yds, punt out-of-bounds at the GeoSt 38",,
"GAST DRIVE TOTALS: 3 plays, 1 yard, 0:45"
Appalachian State at 2:35,,GSU,ASU
1st and 10 at GAST 38,Marcus Cox run for 4 yds to the GeoSt 34,0,20
2nd and 6 at GAST 34,Marcus Cox run for 6 yds to the GeoSt 28 for a 1ST down,,
1st and 10 at GAST 28,Marcus Cox run for 7 yds to the GeoSt 21,,
2nd and 3 at GAST 21,Marcus Cox run for 4 yds to the GeoSt 17 for a 1ST down,,
1st and 10 at GAST 17,Marcus Cox run for 3 yds to the GeoSt 14,,
,"Timeout APPALACHIAN ST, clock 00:34",,
2nd and 7 at GAST 14,Taylor Lamb run for 4 yds to the GeoSt 10,,
,"Timeout APPALACHIAN ST, clock 00:25",,
3rd and 3 at GAST 10,Taylor Lamb run for a loss of 3 yards to the GeoSt 13,,
,"Timeout APPALACHIAN ST, clock 00:03",,
,"Timeout GEORGIA ST, clock 00:03",,
4th and 6 at GAST 13,"Simms McElfresh run for 13 yds for a TD, (Bentlee Critcher KICK)",0,27
,End of 2nd Quarter,,
"APP DRIVE TOTALS: 8 plays, 38 yards, 2:35"
3rd Quarter Play-by-Play
Appalachian State at 14:55,,GSU,ASU
,"Wil Lutz kickoff for 31 yds , Eric Davidson return for 3 yds to the AppSt 22",0,27
1st and Goal at GAST 35,"APPALACHIAN ST Penalty, unsportsmanlike conduct (15 Yards) to the 50 yard line",,
"APP DRIVE TOTALS: 8 plays, 38 yards, 2:35"
Appalachian State at 14:55,,GSU,ASU
1st and 10 at APP 22,Marcus Cox run for no gain to the AppSt 22,0,27
2nd and 10 at APP 22,Taylor Lamb run for 3 yds to the AppSt 25,,
3rd and 7 at APP 25,Marcus Cox run for 9 yds to the AppSt 34 for a 1ST down,,
1st and 10 at APP 34,Taylor Lamb run for 14 yds to the AppSt 48 for a 1ST down,,
1st and 10 at APP 48,Marcus Cox run for 5 yds to the GeoSt 47,,
2nd and 5 at GAST 47,Taylor Lamb pass complete to Montez McGuire for 32 yds to the GeoSt 15 for a 1ST down,,
1st and 10 at GAST 15,Marcus Cox run for 10 yds to the GeoSt 5 for a 1ST down,,
1st and Goal at GAST 5,"Marcus Cox run for 5 yds for a TD, (Bentlee Critcher KICK)",0,34
"APP DRIVE TOTALS: 8 plays, 78 yards, 4:30"
Georgia State at 10:25,,GSU,ASU
,Bentlee Critcher kickoff for 65 yds for a touchback,0,34
1st and 10 at GAST 25,Nick Arbuckle pass complete to Robert Davis for 3 yds to the GeoSt 28,,
2nd and 7 at GAST 28,Nick Arbuckle pass complete to Donovan Harden for 6 yds to the GeoSt 34,,
3rd and 1 at GAST 34,Gerald Howse run for 1 yd to the GeoSt 35 for a 1ST down,,
1st and 10 at GAST 35,Nick Arbuckle pass incomplete to Robert Davis,,
2nd and 10 at GAST 35,"Nick Arbuckle pass incomplete to Robert Davis, broken up by Latrell Gibbs",,
3rd and 10 at GAST 35,Nick Arbuckle pass complete to Joel Ruiz for 10 yds to the GeoSt 45 for a 1ST down,,
1st and 10 at GAST 45,Nick Arbuckle pass incomplete to Avery Sweeting,,
2nd and 10 at GAST 45,Nick Arbuckle sacked by Ronald Blair for a loss of 8 yards to the GeoSt 37,,
3rd and 18 at GAST 37,Nick Arbuckle pass complete to Robert Davis for 6 yds to the GeoSt 43,,
4th and 12 at GAST 43,"Matt Hubbard punt for 41 yds, downed at the AppSt 16",,
"GAST DRIVE TOTALS: 9 plays, 18 yards, 3:49"
Appalachian State at 6:36,,GSU,ASU
1st and 10 at APP 16,Marcus Cox run for 76 yds to the GeoSt 8 for a 1ST down,0,34
1st and Goal at GAST 8,Marcus Cox run for no gain to the GeoSt 8,,
2nd and Goal at GAST 8,Marcus Cox run for 4 yds to the GeoSt 4,,
3rd and Goal at GAST 4,Taylor Lamb pass incomplete,,
4th and Goal at GAST 4,"APPALACHIAN ST Penalty, delay of game (-5 Yards) to the GeoSt 9",,
4th and Goal at GAST 9,Bentlee Critcher 26 yd FG GOOD,0,37
"APP DRIVE TOTALS: 5 plays, 75 yards, 1:53"
Georgia State at 4:34,,GSU,ASU
,"Bentlee Critcher kickoff for 40 yds , Jonathan Lytle return for 8 yds to the GeoSt 33",0,37
1st and 10 at GAST 33,Nick Arbuckle pass incomplete,,
2nd and 10 at GAST 33,"Nick Arbuckle run for a loss of 5 yards to the GeoSt 23 Nick Arbuckle fumbled, recovered by GeoSt Nick Arbuckle",,
3rd and 20 at GAST 23,Gerald Howse run for 2 yds to the GeoSt 25,,
4th and 18 at GAST 25,"Matt Hubbard punt for 39 yds, fair catch by Bobo Beathard at the AppSt 36",,
"GAST DRIVE TOTALS: 3 plays, -8 yards, 1:34"
Appalachian State at 3:00,,GSU,ASU
1st and 10 at APP 36,Ricky Fergerson run for a loss of 1 yard to the AppSt 35,0,37
2nd and 11 at APP 35,Ricky Fergerson run for a loss of 1 yard to the AppSt 34,,
3rd and 12 at APP 34,"Kameron Bryant run for a loss of 2 yards to the AppSt 31 Kameron Bryant fumbled, recovered by AppSt Kameron Bryant",,
4th and 15 at APP 31,"Bentlee Critcher punt for 37 yds , Donovan Harden returns for 35 yds to the APPALCHAN 34 APPALACHIAN ST Penalty, personal foul (Bentlee Critcher) to the AppSt 18",,
"APP DRIVE TOTALS: 3 plays, -5 yards, 2:20"
Georgia State at 0:40,,GSU,ASU
1st and 10 at APP 18,Ronnie Bell run for 6 yds to the AppSt 12,0,37
,End of 3rd Quarter,,
4th Quarter Play-by-Play
Georgia State at 15:00,,GSU,ASU
2nd and 4 at APP 12,"Ronnie Bell pass incomplete to Ronnie Bell, broken up by Joel Ross",0,37
3rd and 4 at APP 12,Ronnie Bell pass complete to Joel Ruiz for 7 yds to the AppSt 5 for a 1ST down,,
1st and Goal at APP 5,Gerald Howse run for 3 yds to the AppSt 2,,
2nd and Goal at APP 2,Gerald Howse run for a loss of 1 yard to the AppSt 3,,
3rd and Goal at APP 3,"Ronnie Bell run for a loss of 2 yards to the AppSt 5 Ronnie Bell fumbled, recovered by AppSt Deuce Robinson",,
"GAST DRIVE TOTALS: 6 plays, 13 yards, 2:38"
Appalachian State at 13:02,,GSU,ASU
1st and 10 at APP 5,Ricky Fergerson run for 4 yds to the AppSt 9,0,37
2nd and 6 at APP 9,Ricky Fergerson run for 84 yds to the GeoSt 7 for a 1ST down,,
1st and Goal at GAST 7,Ricky Fergerson run for 3 yds to the GeoSt 4,,
2nd and Goal at GAST 4,"Ricky Fergerson run for 4 yds for a TD, (Bentlee Critcher KICK)",0,44
"APP DRIVE TOTALS: 4 plays, 95 yards, 1:54"
Georgia State at 11:08,,GSU,ASU
,Bentlee Critcher kickoff for 65 yds for a touchback,0,44
1st and 10 at GAST 25,Gerald Howse run for no gain to the GeoSt 25,,
2nd and 10 at GAST 25,Gerald Howse run for 1 yd to the GeoSt 26,,
3rd and 9 at GAST 26,Gerald Howse run for no gain to the GeoSt 26,,
4th and 9 at GAST 26,"Matt Hubbard punt for 34 yds, downed at the AppSt 40",,
"GAST DRIVE TOTALS: 3 plays, 1 yard, 1:49"
Appalachian State at 9:19,,GSU,ASU
1st and 10 at APP 40,Eric Davidson run for 5 yds to the AppSt 45,0,44
2nd and 5 at APP 45,Eric Davidson run for 4 yds to the AppSt 49,,
3rd and 1 at APP 49,Kameron Bryant run for 10 yds to the GeoSt 41 for a 1ST down,,
1st and 10 at GAST 41,Eric Davidson run for 3 yds to the GeoSt 38,,
2nd and 7 at GAST 38,Eric Davidson run for 2 yds to the GeoSt 36,,
3rd and 5 at GAST 36,Kameron Bryant pass complete to Shaedon Meadors for 8 yds to the GeoSt 28 for a 1ST down,,
1st and 10 at GAST 28,Eric Davidson run for 3 yds to the GeoSt 25,,
2nd and 7 at GAST 25,Eric Davidson run for 6 yds to the GeoSt 19,,
3rd and 1 at GAST 19,Eric Davidson run for 5 yds to the GeoSt 14 for a 1ST down,,
1st and 10 at GAST 14,Eric Davidson run for 3 yds to the GeoSt 11,,
2nd and 7 at GAST 11,Kameron Bryant run for 6 yds to the GeoSt 5,,
3rd and 1 at GAST 5,Eric Davidson run for 2 yds to the GeoSt 3 for a 1ST down,,
1st and Goal at GAST 3,TEAM run for a loss of 1 yard to the GeoSt 4,,
2nd and Goal at GAST 4,TEAM run for a loss of 1 yard to the GeoSt 5,,
,End of 4th Quarter,,
"APP DRIVE TOTALS: 14 plays, 55 yards, 9:19"
