9.04302E+12,,9,430
4th and 12 at MSST 26,Ty Long 44 yd FG GOOD,3,7
"UAB DRIVE TOTALS: 4 plays, -2 yards, 0:32",,,
Mississippi State at 5:31,,UAB,MSU
,Ty Long kickoff for 65 yds for a touchback,3,7
1st and 10 at MSST 25,Josh Robinson run for 4 yds to the MisSt 29,,
2nd and 6 at MSST 29,Josh Robinson run for 17 yds to the MisSt 46 for a 1ST down,,
1st and 10 at MSST 46,Damian Williams pass incomplete to N/A,,
2nd and 10 at MSST 46,Damian Williams pass complete to Robert Johnson for 7 yds to the UAB 47,,
3rd and 3 at UAB 47,Josh Robinson run for 1 yd to the UAB 46,,
4th and 2 at UAB 46,"Devon Bell punt for 37 yds, fair catch by Jamarcus Nelson at the UAB 9",,
"MSST DRIVE TOTALS: 5 plays, 29 yards, 2:11",,,
UAB at 3:20,,UAB,MSU
1st and 10 at UAB 9,Jordan Howard run for a loss of 1 yard to the UAB 8,3,7
2nd and 11 at UAB 8,D.J. Vinson run for no gain to the UAB 8,,
3rd and 11 at UAB 8,Cody Clements pass incomplete to Jamarcus Nelson,,
4th and 11 at UAB 8,"Hunter Mullins punt for 56 yds , Jamoral Graham returns for 8 yds to the MisSt 44",,
"UAB DRIVE TOTALS: 3 plays, -1 yard, 1:23",,,
Mississippi State at 1:57,,UAB,MSU
1st and 10 at MSST 44,Jameon Lewis run for 26 yds to the UAB 30 for a 1ST down,3,7
1st and 10 at UAB 30,Dak Prescott pass intercepted Kalen Jackson return for no gain to the UAB 1,,
"MSST DRIVE TOTALS: 2 plays, 26 yards, 0:20",,,
UAB at 1:37,,UAB,MSU
1st and 10 at UAB 1,Cody Clements run for 1 yd to the UAB 2,3,7
2nd and 9 at UAB 2,"UAB Penalty, false start (N/A) to the UAB 1",,
2nd and 10 at UAB 1,Cody Clements pass complete to Kennard Backman for 5 yds to the UAB 6,,
3rd and 5 at UAB 6,Preston Smith 21 Yd Interception Return (Westin Graves PAT failed),3,13
"UAB DRIVE TOTALS: 3 plays, 5 yards, 0:54",,,
Mississippi State at 0:43,,UAB,MSU
1st and Goal at MSST 35,"MISSISSIPPI ST Penalty, unsportsmanlike conduct (-15 Yards) to the MisSt 20",3,7
"MSST DRIVE TOTALS: 0 plays, 0 yards",,,
UAB at 0:38,,UAB,MSU
,"Devon Bell kickoff for 63 yds , Josh Magee return for 22 yds to the UAB 39",3,13
1st and 10 at UAB 39,Nolen Smith pass complete to Jamarcus Nelson for 37 yds to the MisSt 24 for a 1ST down,,
1st and 10 at MSST 24,Jordan Howard run for 4 yds to the MisSt 20,,
2nd and 6 at MSST 20,Jordan Howard run for 1 yd to the MisSt 19,,
,End of 1st Quarter,,
2nd Quarter Play-by-Play,,,
UAB at 15:00,,UAB,MSU
3rd and 5 at MSST 19,"UAB Penalty, false start (Jordan Howard) to the MisSt 24",3,13
,"Timeout UAB, clock 15:00",,
3rd and 10 at MSST 24,Cody Clements pass complete to Josh Magee for 19 yds to the MisSt 5 for a 1ST down,,
1st and Goal at MSST 5,Jordan Howard run for 3 yds to the MisSt 2,,
2nd and Goal at MSST 2,"Jordan Howard run for 2 yds for a TD, (Ty Long KICK)",10,13
"UAB DRIVE TOTALS: 6 plays, 61 yards, 1:25",,,
Mississippi State at 14:05,,UAB,MSU
,"Ty Long kickoff for 65 yds , Justin Cox return for 27 yds to the MisSt 27",10,13
1st and 10 at MSST 27,Ashton Shumpert run for 1 yd to the MisSt 28,,
2nd and 9 at MSST 28,"Damian Williams pass incomplete to Jameon Lewis, broken up by Kalen Jackson",,
3rd and 9 at MSST 28,Damian Williams pass complete to Brandon Holloway for 6 yds to the MisSt 34,,
,"Timeout UAB, clock 13:24",,
4th and 3 at MSST 34,"Devon Bell punt for 54 yds, fair catch by Jamarcus Nelson at the UAB 12",,
"MSST DRIVE TOTALS: 3 plays, 7 yards, 0:50",,,
UAB at 13:15,,UAB,MSU
1st and 10 at UAB 12,"Jeremiah Briscoe pass complete to Jamarcus Nelson for 88 yds for a TD, (Ty Long KICK)",17,13
"UAB DRIVE TOTALS: 1 play, 88 yards, 0:12",,,
Mississippi State at 12:57,,UAB,MSU
,"Ty Long kickoff for 65 yds , Jameon Lewis return for 21 yds to the MisSt 21",17,13
1st and 10 at MSST 21,"Dak Prescott pass incomplete to N/A, broken up by Jordan Petty",,
2nd and 10 at MSST 21,Dak Prescott pass complete to Brandon Hill for 40 yds to the UAB 39 for a 1ST down,,
1st and 10 at UAB 39,Josh Robinson run for 8 yds to the UAB 31,,
2nd and 2 at UAB 31,Dak Prescott run for 8 yds to the UAB 23 for a 1ST down,,
,"Timeout UAB, clock 12:03",,
1st and 10 at UAB 23,Dak Prescott run for 6 yds to the UAB 17,,
2nd and 4 at UAB 17,"Josh Robinson run for 17 yds for a TD, (Evan Sobiesk MISSED)",17,19
"MSST DRIVE TOTALS: 6 plays, 79 yards, 1:20",,,
UAB at 11:37,,UAB,MSU
,Devon Bell kickoff for 65 yds for a touchback,17,19
1st and 10 at UAB 25,Jeremiah Briscoe pass complete to Kennard Backman for 10 yds to the UAB 35 for a 1ST down,,
1st and 10 at UAB 35,D.J. Vinson run for 5 yds to the UAB 40,,
2nd and 5 at UAB 40,D.J. Vinson run for a loss of 1 yard to the UAB 39,,
3rd and 6 at UAB 39,"Jeremiah Briscoe pass incomplete to N/A UAB Penalty, illegal block ( Yards) declined",,
4th and 6 at UAB 39,"Hunter Mullins punt for 30 yds, downed at the MisSt 31",,
"UAB DRIVE TOTALS: 4 plays, 14 yards, 1:37",,,
Mississippi State at 10:00,,UAB,MSU
1st and 10 at MSST 31,"Dak Prescott pass incomplete to N/A, broken up by Darius Williams",17,19
2nd and 10 at MSST 31,Nick Griffin run for 4 yds to the MisSt 35,,
3rd and 6 at MSST 35,Dak Prescott pass incomplete to Nick Griffin,,
4th and 6 at MSST 35,"Devon Bell punt for 49 yds, downed at the UAB 16",,
"MSST DRIVE TOTALS: 3 plays, 4 yards, 0:49",,,
UAB at 9:11,,UAB,MSU
1st and 10 at UAB 16,Jeremiah Briscoe pass complete to Jamari Staples for 53 yds to the MisSt 31 for a 1ST down,17,19
1st and 10 at MSST 31,Jordan Howard run for 2 yds to the MisSt 29,,
2nd and 8 at MSST 29,Jeremiah Briscoe pass incomplete to Kennard Backman,,
3rd and 8 at MSST 29,Jeremiah Briscoe pass incomplete to Jamarcus Nelson,,
4th and 8 at MSST 29,Ty Long 46 yd FG GOOD,20,19
"UAB DRIVE TOTALS: 5 plays, 55 yards, 1:05",,,
Mississippi State at 8:00,,UAB,MSU
,"Ty Long kickoff for 65 yds , Jameon Lewis return for 24 yds to the MisSt 24",20,19
1st and 10 at MSST 24,Dak Prescott run for 5 yds to the MisSt 29,,
2nd and 5 at MSST 29,Dak Prescott run for 17 yds to the MisSt 46 for a 1ST down,,
1st and 10 at MSST 46,Josh Robinson run for 8 yds to the UAB 46,,
2nd and 2 at UAB 46,Josh Robinson run for 5 yds to the UAB 41 for a 1ST down,,
1st and 10 at UAB 41,Dak Prescott pass complete to Malcolm Johnson for 6 yds to the UAB 35,,
2nd and 4 at UAB 35,Dak Prescott run for no gain to the UAB 35,,
3rd and 4 at UAB 35,"Dak Prescott pass incomplete to N/A, broken up by Jordan Petty",,
4th and 4 at UAB 35,Dak Prescott run for 5 yds to the UAB 30 for a 1ST down,,
1st and 10 at UAB 30,Josh Robinson run for 8 yds to the UAB 22,,
2nd and 2 at UAB 22,Dak Prescott run for 2 yds to the UAB 20 for a 1ST down,,
1st and 10 at UAB 20,Dak Prescott pass incomplete to N/A,,
2nd and 10 at UAB 20,"Dak Prescott pass complete to Gus Walley for 20 yds for a TD, (Evan Sobiesk KICK)",20,26
"MSST DRIVE TOTALS: 12 plays, 76 yards, 2:58",,,
UAB at 4:58,,UAB,MSU
,"Devon Bell kickoff for 63 yds , Josh Magee return for 18 yds to the UAB 20",20,26
1st and 10 at UAB 20,Jeremiah Briscoe pass incomplete to Josh Magee,,
2nd and 10 at UAB 20,Jeremiah Briscoe pass complete to Kennard Backman for 5 yds to the UAB 25,,
3rd and 5 at UAB 25,"Jeremiah Briscoe pass incomplete to Jamarcus Nelson, broken up by Taveze Calhoun",,
4th and 5 at UAB 25,"Hunter Mullins punt for 60 yds , Jamoral Graham returns for 14 yds to the MisSt 29",,
"UAB DRIVE TOTALS: 3 plays, 5 yards, 0:30",,,
Mississippi State at 4:28,,UAB,MSU
1st and 10 at MSST 29,Brandon Holloway run for 7 yds to the MisSt 36,20,26
2nd and 3 at MSST 36,Brandon Holloway run for 4 yds to the MisSt 40 for a 1ST down,,
1st and 10 at MSST 40,Brandon Holloway run for 1 yd to the MisSt 41,,
2nd and 9 at MSST 41,"Dak Prescott pass incomplete to N/A, broken up by Shaq Jones",,
3rd and 9 at MSST 41,"Dak Prescott pass incomplete to N/A, broken up by Calvin Jones",,
4th and 9 at MSST 41,"Devon Bell punt for 43 yds , Jamarcus Nelson returns for 8 yds to the UAB 24",,
"MSST DRIVE TOTALS: 5 plays, 12 yards, 2:00",,,
UAB at 2:28,,UAB,MSU
1st and 10 at UAB 24,Jordan Howard run for a loss of 3 yards to the UAB 21,20,26
2nd and 13 at UAB 21,Jordan Howard run for 14 yds to the UAB 35 for a 1ST down,,
1st and 10 at UAB 35,Jordan Howard run for 13 yds to the UAB 48 for a 1ST down,,
1st and 10 at UAB 48,Cody Clements sacked by Beniquez Brown for a loss of 9 yards to the UAB 39,,
2nd and 19 at UAB 39,D.J. Vinson run for 7 yds to the UAB 46,,
,End of 2nd Quarter,,
"UAB DRIVE TOTALS: 5 plays, 22 yards, 2:28",,,
3rd Quarter Play-by-Play,,,
UAB at 15:00,,UAB,MSU
,"Devon Bell kickoff for 65 yds , Jamarcus Nelson return for 16 yds to the UAB 16",20,26
1st and 10 at UAB 16,Jordan Howard run for 6 yds to the UAB 22,,
2nd and 4 at UAB 22,Jordan Howard run for a loss of 1 yard to the UAB 21,,
3rd and 5 at UAB 21,"Jeremiah Briscoe pass incomplete to Jamarcus Nelson, broken up by Taveze Calhoun",,
4th and 5 at UAB 21,Hunter Mullins punt blocked by Kivon Coman blocked by Kivon Coman,,
"UAB DRIVE TOTALS: 3 plays, 5 yards, 1:14",,,
Mississippi State at 13:42,,UAB,MSU
1st and 10 at UAB 20,Dak Prescott run for 8 yds to the UAB 12,20,26
2nd and 2 at UAB 12,Josh Robinson run for 8 yds to the UAB 4 for a 1ST down,,
1st and Goal at UAB 4,"Dak Prescott run for 4 yds for a TD, (Evan Sobiesk KICK)",20,33
"MSST DRIVE TOTALS: 3 plays, 20 yards, 0:39",,,
UAB at 12:55,,UAB,MSU
,"Devon Bell kickoff for 65 yds , Josh Magee return for 26 yds to the UAB 26",20,33
1st and 10 at UAB 26,Cody Clements sacked by Benardrick McKinney for a loss of 8 yards to the UAB 18,,
2nd and 18 at UAB 18,Cody Clements pass complete to Nyiakki Height for 18 yds to the UAB 36 for a 1ST down,,
1st and 10 at UAB 36,Jordan Howard run for 14 yds to the 50 yard line for a 1ST down,,
1st and 10 at 50,D.J. Vinson run for 4 yds to the MisSt 46,,
2nd and 6 at MSST 46,D.J. Vinson run for 9 yds to the MisSt 37 for a 1ST down,,
1st and 10 at MSST 37,"Cody Clements pass incomplete to Nyiakki Height, broken up by Tolando Cleveland",,
2nd and 10 at MSST 37,Cody Clements run for 5 yds to the MisSt 32,,
3rd and 5 at MSST 32,D.J. Vinson run for a loss of 2 yards to the MisSt 34,,
4th and 7 at MSST 34,"Cody Clements pass incomplete to Nyiakki Height, broken up by Jamerson Love",,
"UAB DRIVE TOTALS: 9 plays, 40 yards, 2:57",,,
Mississippi State at 9:58,,UAB,MSU
1st and 10 at MSST 34,"Dak Prescott pass incomplete to Jameon Lewis, broken up by Calvin Jones",20,33
2nd and 10 at MSST 34,Dak Prescott pass complete to Joe Morrow for 6 yds to the MisSt 40,,
3rd and 4 at MSST 40,Dak Prescott run for 6 yds to the MisSt 46 for a 1ST down,,
1st and 10 at MSST 46,Josh Robinson run for 13 yds to the UAB 41 for a 1ST down,,
1st and 10 at UAB 41,Josh Robinson run for 5 yds to the UAB 36,,
2nd and 5 at UAB 36,Dak Prescott run for 4 yds to the UAB 32,,
3rd and 1 at UAB 32,Dak Prescott pass complete to Fred Brown for 10 yds to the UAB 22 for a 1ST down,,
1st and 10 at UAB 22,Dak Prescott run for 7 yds to the UAB 15,,
2nd and 3 at UAB 15,Josh Robinson run for no gain to the UAB 15,,
3rd and 3 at UAB 15,"Dak Prescott pass complete to Joe Morrow for 15 yds for a TD UAB Penalty, offside defense ( Yards) declined, (Evan Sobiesk KICK)",20,40
"MSST DRIVE TOTALS: 10 plays, 66 yards, 3:18",,,
UAB at 6:35,,UAB,MSU
,"Devon Bell kickoff for 64 yds , Rodarius Houston return for 21 yds to the UAB 22",20,40
1st and 10 at UAB 22,Jordan Howard run for a loss of 3 yards to the UAB 19,,
2nd and 13 at UAB 19,"Cody Clements pass complete to Josh Magee for 81 yds for a TD, (Ty Long KICK)",27,40
"UAB DRIVE TOTALS: 2 plays, 78 yards, 0:46",,,
Mississippi State at 5:40,,UAB,MSU
,"Ty Long kickoff for 65 yds , Robert Johnson return for 29 yds to the MisSt 29",27,40
1st and 10 at MSST 29,Ashton Shumpert run for 3 yds to the MisSt 32,,
2nd and 7 at MSST 32,"Dak Prescott pass complete to u""De'Runnya Wilson"",  for 11 yds to the MisSt 43 for a 1ST down",,
1st and 10 at MSST 43,Dak Prescott run for 16 yds to the UAB 41 for a 1ST down,,
1st and 10 at UAB 41,Josh Robinson run for 3 yds to the UAB 38,,
2nd and 7 at UAB 38,Dak Prescott pass incomplete to Jameon Lewis,,
3rd and 7 at UAB 38,Dak Prescott run for 4 yds to the UAB 34,,
4th and 3 at UAB 34,Dak Prescott run for 7 yds to the UAB 27 for a 1ST down,,
1st and 10 at UAB 27,Dak Prescott pass complete to Gus Walley for 15 yds to the UAB 12 for a 1ST down,,
1st and 10 at UAB 12,Ashton Shumpert run for 4 yds to the UAB 8,,
2nd and 6 at UAB 8,Dak Prescott run for no gain to the UAB 8,,
3rd and 6 at UAB 8,"Dak Prescott pass complete to u""De'Runnya Wilson"",  for 8 yds for a TD, (Evan Sobiesk KICK)",27,47
"MSST DRIVE TOTALS: 11 plays, 71 yards, 3:51",,,
UAB at 1:43,,UAB,MSU
,"Devon Bell kickoff for 64 yds , Rodarius Houston return for 13 yds to the UAB 48 UAB Penalty, illegal block (Nolen Smith) to the UAB 7",27,47
1st and 10 at UAB 7,Jordan Howard run for 8 yds to the UAB 15,,
2nd and 2 at UAB 15,Jordan Howard run for 3 yds to the UAB 18 for a 1ST down,,
1st and 10 at UAB 18,"BRISCOE, Jeremi pass complete to NELSON, JJ for 37 yards to the MS45, PENALTY UAB pass interference (NELSON, JJ) 9 yards to the UAB9, NO PLAY.",,
1st and 19 at UAB 9,Jeremiah Briscoe pass incomplete to Jamarcus Nelson,,
2nd and 19 at UAB 9,Jordan Howard run for a loss of 4 yards to the UAB 5,,
,End of 3rd Quarter,,
4th Quarter Play-by-Play,,,
UAB at 15:00,,UAB,MSU
,"Timeout UAB, clock 15:00",27,47
3rd and 23 at UAB 5,Jeremiah Briscoe pass incomplete to Maudrecus Humphrey,,
4th and 23 at UAB 5,"Hunter Mullins punt for 53 yds, downed at the MisSt 42",,
"UAB DRIVE TOTALS: 5 plays, -2 yards, 2:01",,,
Mississippi State at 14:42,,UAB,MSU
1st and 10 at MSST 42,Dak Prescott pass complete to Jameon Lewis for 6 yds to the MisSt 48,27,47
2nd and 4 at MSST 48,Josh Robinson run for 11 yds to the UAB 41 for a 1ST down,,
1st and 10 at UAB 41,Josh Robinson run for a loss of 1 yard to the UAB 42,,
2nd and 11 at UAB 42,Dak Prescott pass incomplete to Joe Morrow,,
3rd and 11 at UAB 42,Josh Robinson run for 10 yds to the UAB 32,,
,"Timeout MISSISSIPPI ST, clock 12:14",,
4th and 1 at UAB 32,"Dak Prescott pass incomplete to u""De'Runnya Wilson""",,
"MSST DRIVE TOTALS: 6 plays, 26 yards, 2:33",,,
UAB at 12:09,,UAB,MSU
1st and 10 at UAB 32,Jordan Howard run for 17 yds to the UAB 49 for a 1ST down,27,47
1st and 10 at UAB 49,"Jordan Howard run for 7 yds to the MISSSTATE 44 for a 1ST down MISSISSIPPI ST Penalty, personal foul (P.J. Jones) to the MisSt 29 for a 1ST down",,
1st and 10 at MSST 29,Cody Clements pass complete to Jamarcus Nelson for 12 yds to the MisSt 17 for a 1ST down,,
1st and 10 at MSST 17,Cody Clements run for 5 yds to the MisSt 12,,
2nd and 5 at MSST 12,Jordan Howard run for 1 yd to the MisSt 11,,
3rd and 4 at MSST 11,Jordan Howard run for 1 yd to the MisSt 10,,
4th and 3 at MSST 10,Cody Clements run for 1 yd to the MisSt 9,,
"UAB DRIVE TOTALS: 7 plays, 59 yards, 2:45",,,
Mississippi State at 9:24,,UAB,MSU
1st and 10 at MSST 9,Josh Robinson run for 3 yds to the MisSt 12,27,47
2nd and 7 at MSST 12,Josh Robinson run for a loss of 5 yards to the MisSt 7,,
3rd and 12 at MSST 7,Josh Robinson run for 6 yds to the MisSt 13,,
4th and 6 at MSST 13,"Devon Bell punt for 55 yds , Jamarcus Nelson returns for 1 yd to the UAB 33",,
"MSST DRIVE TOTALS: 3 plays, 4 yards, 1:56",,,
UAB at 7:28,,UAB,MSU
1st and 10 at UAB 33,D.J. Vinson run for 2 yds to the UAB 35,27,47
2nd and 8 at UAB 35,D.J. Vinson run for no gain to the UAB 35,,
3rd and 8 at UAB 35,Cody Clements pass complete to Jamarcus Nelson for 9 yds to the UAB 44 for a 1ST down,,
1st and 10 at UAB 44,Jordan Howard run for 4 yds to the UAB 48,,
2nd and 6 at UAB 48,D.J. Vinson run for a loss of 1 yard to the UAB 47,,
3rd and 7 at UAB 47,Cody Clements pass incomplete to Jamarcus Nelson,,
4th and 7 at UAB 47,"Hunter Mullins punt for 38 yds, fair catch by Jamoral Graham at the MisSt 15",,
"UAB DRIVE TOTALS: 6 plays, 14 yards, 1:54",,,
Mississippi State at 5:34,,UAB,MSU
1st and 10 at MSST 15,Brandon Holloway run for 4 yds to the MisSt 19,27,47
2nd and 6 at MSST 19,Brandon Holloway run for 5 yds to the MisSt 24,,
3rd and 1 at MSST 24,Damian Williams run for 4 yds to the MisSt 28 for a 1ST down,,
1st and 10 at MSST 28,Brandon Holloway run for 1 yd to the MisSt 29,,
2nd and 9 at MSST 29,Brandon Holloway run for 4 yds to the MisSt 33,,
3rd and 5 at MSST 33,Brandon Holloway run for 3 yds to the MisSt 36,,
4th and 2 at MSST 36,"Devon Bell punt for 39 yds , Maudrecus Humphrey returns for no gain to the UAB 25",,
"MSST DRIVE TOTALS: 6 plays, 21 yards, 4:07",,,
UAB at 1:27,,UAB,MSU
1st and 10 at UAB 25,D.J. Vinson run for no gain to the UAB 25,27,47
2nd and 10 at UAB 25,"Jeremiah Briscoe pass complete to Quincy Perdue for 75 yds for a TD, (Ty Long KICK)",34,47
"UAB DRIVE TOTALS: 2 plays, 75 yards, 0:38",,,
Mississippi State at 0:48,,UAB,MSU
,Ty Long on-side kick recovered by MISSISSIPPI ST at the UAB 45,34,47
1st and 10 at UAB 45,TEAM run for a loss of 1 yard to the UAB 46,,
2nd and 11 at UAB 46,TEAM run for a loss of 1 yard to the UAB 47,,
,End of 4th Quarter,,
"MSST DRIVE TOTALS: 2 plays, -2 yards, 0:48",,,
