0721046520141108,,721,465
1st and 10 at UNLV 40,Kale Pearson pass complete to Matt Galland for 32 yds to the UNLV 8 for a 1ST down,,
1st and Goal at UNLV 8,Shayne Davern run for 3 yds to the UNLV 5,,
,"Timeout UNLV, clock 01:08",,
2nd and Goal at UNLV 5,Jacobi Owens run for 4 yds to the UNLV 1,,
,"Timeout UNLV, clock 00:59",,
3rd and Goal at UNLV 1,"Jacobi Owens run for 1 yd for a TD, (Will Conant KICK)",31,14
"AFA DRIVE TOTALS: 6 plays, 55 yards, 1:07"
UNLV at 0:51,,AFA,UNLV
,"Drew Oehrle kickoff for 65 yds , Keith Whitely return for 21 yds to the UNLV 21",31,14
1st and 10 at UNLV 21,Blake Decker pass complete to Devante Davis for 4 yds to the UNLV 45 for a 1ST down lat. to Shaquille Murray-Lawrence for 20 yds to the UNLV 45 for a 1ST down,,
1st and 10 at UNLV 45,Blake Decker sacked by Ryan Watson for a loss of 4 yards to the UNLV 41,,
,"Timeout UNLV, clock 00:38",,
2nd and 14 at UNLV 41,Blake Decker pass incomplete,,
3rd and 14 at UNLV 41,Blake Decker pass incomplete to Shaquille Murray-Lawrence,,
,"Timeout AIR FORCE, clock 00:28",,
4th and 14 at UNLV 41,"Logan Yunker punt for 51 yds, punt out-of-bounds at the AFA 8",,
"UNLV DRIVE TOTALS: 4 plays, 20 yards, 0:32"
Air Force at 0:19,,AFA,UNLV
1st and 10 at AFA 8,TEAM run for a loss of 1 yard to the AFA 7,31,14
,End of 2nd Quarter,,
"AFA DRIVE TOTALS: 1 play, -1 yard, 0:19"
3rd Quarter Play-by-Play
Air Force at 14:58,,AFA,UNLV
,"Jonathan Leiva kickoff for 36 yds , Shayne Davern return for 4 yds to the AFA 33",31,14
1st and 10 at AFA 33,Kale Pearson run for 10 yds to the AFA 43 for a 1ST down,,
1st and 10 at AFA 43,Shayne Davern run for 2 yds to the AFA 45,,
2nd and 8 at AFA 45,Colton Huntsman run for 53 yds to the UNLV 2 for a 1ST down,,
1st and Goal at UNLV 2,"Shayne Davern run for 2 yds for a TD, (Will Conant KICK)",38,14
"AFA DRIVE TOTALS: 4 plays, 67 yards, 1:12"
UNLV at 13:41,,AFA,UNLV
,"Drew Oehrle kickoff for 65 yds , Keith Whitely return for 29 yds to the UNLV 29",38,14
1st and 10 at UNLV 29,Blake Decker sacked by Jordan Pierce for a loss of 6 yards to the UNLV 23,,
2nd and 16 at UNLV 23,Blake Decker pass complete to Maika Mataele for 11 yds to the UNLV 34,,
3rd and 5 at UNLV 34,Blake Decker pass complete to Devonte Boyd for 6 yds to the UNLV 40 for a 1ST down,,
1st and 10 at UNLV 40,Blake Decker pass incomplete to Devante Davis,,
2nd and 10 at UNLV 40,Blake Decker pass complete to Devonte Boyd for 22 yds to the AFA 38 for a 1ST down,,
1st and 10 at AFA 38,"DECKER, Blake pass incomplete to BOYD, Devonte, PENALTY AF pass interference (DECOUD, Justin) 15 yards to the AF23, 1ST DOWN LV, NO PLAY. for a 1ST down",,
1st and 10 at AFA 23,Blake Decker sacked by Jacob Onyechi and David Harris for a loss of 7 yards to the AFA 30,,
2nd and 17 at AFA 30,Blake Decker pass incomplete to Devante Davis,,
3rd and 17 at AFA 30,Blake Decker pass incomplete to Devante Davis,,
4th and 17 at AFA 30,Troy Hawthorne pass complete to Jake Phillips for 25 yds to the AFA 5 for a 1ST down,,
1st and Goal at AFA 5,Shaquille Murray-Lawrence run for 3 yds to the AFA 2,,
2nd and Goal at AFA 2,Blake Decker pass incomplete to Devante Davis,,
3rd and Goal at AFA 2,Shaquille Murray-Lawrence run for a loss of 2 yards to the AFA 4,,
4th and Goal at AFA 4,"Blake Decker pass incomplete to Devonte Boyd, broken up by Jordan Mays",,
"UNLV DRIVE TOTALS: 13 plays, 67 yards, 4:14"
Air Force at 9:27,,AFA,UNLV
1st and 10 at AFA 4,Shayne Davern run for 3 yds to the AFA 7,38,14
2nd and 7 at AFA 7,"Kale Pearson run for a loss of 5 yards to the AFA 2 Kale Pearson fumbled, recovered by UNLV Matt Lea",,
"AFA DRIVE TOTALS: 2 plays, -2 yards, 0:37"
UNLV at 8:50,,AFA,UNLV
1st and Goal at AFA 2,Blake Decker run for 1 yd to the AFA 1,38,14
2nd and Goal at AFA 1,"Shaquille Murray-Lawrence run for 1 yd for a TD, (Jonathan Leiva KICK)",38,21
"UNLV DRIVE TOTALS: 2 plays, 2 yards, 0:29"
Air Force at 8:15,,AFA,UNLV
,"Brian McIntyre kickoff for 55 yds , Jon Lee return for 15 yds to the AFA 25",38,21
1st and 10 at AFA 25,Kale Pearson run for a loss of 4 yards to the AFA 21,,
2nd and 14 at AFA 21,Jacobi Owens run for 5 yds to the AFA 26,,
3rd and 9 at AFA 26,Kale Pearson run for 3 yds to the AFA 29,,
4th and 6 at AFA 29,"Will Conant punt for 37 yds, punt out-of-bounds at the UNLV 34",,
"AFA DRIVE TOTALS: 3 plays, 4 yards, 1:50"
UNLV at 6:25,,AFA,UNLV
1st and 10 at UNLV 34,Blake Decker pass complete to Devante Davis for 34 yds to the AFA 32 for a 1ST down,38,21
1st and 10 at AFA 32,Shaquille Murray-Lawrence run for 1 yd to the AFA 31,,
2nd and 9 at AFA 31,Blake Decker sacked by Alex Hansen for a loss of 7 yards to the AFA 38,,
3rd and 16 at AFA 38,Blake Decker pass incomplete to Maika Mataele,,
4th and 16 at AFA 38,"Logan Yunker punt for 31 yds, downed at the AFA 7",,
"UNLV DRIVE TOTALS: 4 plays, 28 yards, 1:43"
Air Force at 4:42,,AFA,UNLV
1st and 10 at AFA 7,D.J. Johnson run for 2 yds to the AFA 9,38,21
2nd and 8 at AFA 9,Colton Huntsman pass complete to Kale Pearson for 41 yds to the 50 yard line for a 1ST down,,
1st and 10 at 50,Jacobi Owens run for 10 yds to the UNLV 40 for a 1ST down,,
1st and 10 at UNLV 40,Shayne Davern run for 5 yds to the UNLV 35,,
2nd and 5 at UNLV 35,Jacobi Owens run for 3 yds to the UNLV 32,,
3rd and 2 at UNLV 32,Shayne Davern run for 6 yds to the UNLV 26 for a 1ST down,,
1st and 10 at UNLV 26,Shayne Davern run for 4 yds to the UNLV 22,,
2nd and 6 at UNLV 22,Kale Pearson pass complete to Jacobi Owens for a loss of 2 yards to the UNLV 24,,
3rd and 8 at UNLV 24,Kale Pearson pass complete to Jalen Robinette for 22 yds to the UNLV 2 for a 1ST down,,
1st and Goal at UNLV 2,"D.J. Johnson run for 2 yds for a TD, (Will Conant KICK)",45,21
"AFA DRIVE TOTALS: 10 plays, 93 yards, 4:07"
UNLV at 0:30,,AFA,UNLV
,"Drew Oehrle kickoff for 65 yds , Keith Whitely return for 23 yds to the UNLV 42 UNLV Penalty, Offensive holding (10 Yards) to the UNLV 13",45,21
1st and 10 at UNLV 13,"UNLV Penalty, false start (Kyle Saxelid) to the UNLV 8",,
1st and 15 at UNLV 8,Jared Lebowitz pass complete to Taylor Barnhill for 6 yds to the UNLV 14,,
2nd and 9 at UNLV 14,Jared Lebowitz pass incomplete to Devonte Boyd,,
3rd and 9 at UNLV 14,Jared Lebowitz pass incomplete to Anthony Williams,,
4th and 9 at UNLV 14,"Logan Yunker punt for 61 yds, downed at the AFA 25",,
,End of 3rd Quarter,,
"UNLV DRIVE TOTALS: 3 plays, 1 yard, 0:30"
4th Quarter Play-by-Play
Air Force at 15:00,,AFA,UNLV
1st and 10 at AFA 25,Shayne Davern run for 1 yd to the AFA 26,45,21
2nd and 9 at AFA 26,Jacobi Owens run for 55 yds to the UNLV 19 for a 1ST down,,
1st and 10 at UNLV 19,Kale Pearson run for 5 yds to the UNLV 14,,
2nd and 5 at UNLV 14,Shayne Davern run for 3 yds to the UNLV 11,,
3rd and 2 at UNLV 11,"Matt Galland run for a loss of 4 yards to the UNLV 16 Matt Galland fumbled, recovered by AFA Matt Galland",,
,"Timeout AIR FORCE, clock 12:32",,
4th and 7 at UNLV 16,Will Conant 33 yd FG GOOD,48,21
"AFA DRIVE TOTALS: 6 plays, 59 yards, 2:32"
UNLV at 12:21,,AFA,UNLV
,"Drew Oehrle kickoff for 58 yds , Keith Whitely return for 22 yds to the UNLV 29",48,21
