Position,Down,Distance,Plays,Runs,Run Yards Exp,Run Points Exp,Passes,Pass Yards Exp,Pass Points Exp,Sacks,Sack Yards Exp,Sack Points Exp,Punts,Field Goals,Expected Yards,Expected Points
10,2,0,179,130,4.223076923,5.461538462,42,3.976190476,4.428571429,3,-6,3.333333333,0,4,3.988571429,5.177142857
10,2,1,282,196,4.265306122,5.153061224,79,3.835443038,4.82278481,3,-4.333333333,4.333333333,0,2,4.050359712,5.050359712
10,2,2,658,329,4.343465046,4.550151976,303,3.97029703,4.498349835,16,-5.125,3,0,4,3.935185185,4.487654321
10,2,3,149,67,4.731343284,4.089552239,73,4.917808219,4.561643836,6,-5,2.666666667,0,0,4.424657534,4.267123288
10,2,4,1,1,-1,0,0,0,0,0,0,0,0,0,-1,0
10,3,0,226,164,3.548780488,5.073170732,59,4.355932203,4.254237288,1,-5,0,0,2,3.723214286,4.834821429
10,3,1,201,61,4.327868852,4.147540984,124,3.596774194,4,11,-6.818181818,1.636363636,0,4,3.239795918,3.913265306
10,3,2,306,61,6.852459016,3.704918033,228,4.127192982,3.807017544,16,-6.375,2.25,0,1,4.121311475,3.704918033
10,3,3,97,21,6.047619048,3.142857143,66,4.696969697,3.712121212,9,-4.666666667,2.333333333,0,0,4.114583333,3.458333333
10,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,4,0,163,53,2.58490566,3.698113208,17,5.058823529,2.470588235,0,0,0,0,93,3.185714286,3.4
10,4,1,164,7,2,0,8,6.25,2.625,0,0,0,0,149,4.266666667,1.4
10,4,2,78,5,-0.8,0,12,3.416666667,1.75,1,-11,0,0,60,1.444444444,1.166666667
10,4,3,30,1,5,0,7,5.142857143,3,0,0,0,0,22,5.125,2.625
10,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,1,3,1,1,7,2,7,7,0,0,0,0,0,5,7
15,1,2,1622,996,4.8062249,4.68373494,556,5.839928058,4.598920863,33,-5.363636364,3.363636364,0,8,4.957097792,4.626498423
15,1,3,46,24,3.916666667,2.708333333,17,3.823529412,5.058823529,2,-6,5,0,0,3.418604651,3.744186047
15,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2,0,195,152,5.328947368,5.078947368,42,3.428571429,4.666666667,0,0,0,0,1,4.917525773,4.989690722
15,2,1,294,173,5.306358382,4.797687861,118,6.186440678,4.771186441,2,-3.5,3.5,0,0,5.600682594,4.778156997
15,2,2,658,328,5.5,4.335365854,305,5.232786885,4.481967213,19,-4.421052632,1.526315789,0,6,5.085889571,4.32208589
15,2,3,179,67,5.28358209,4.417910448,94,4.840425532,3.521276596,7,-6.428571429,3.571428571,0,3,4.547619048,3.880952381
15,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,3,0,262,190,3.857894737,4.4,68,5.205882353,3.926470588,2,-4.5,0,0,2,4.146153846,4.242307692
15,3,1,212,59,5.06779661,3.610169492,138,5.739130435,4.268115942,12,-7.25,1.833333333,0,1,4.803827751,3.942583732
15,3,2,258,40,6.375,3.65,198,5.318181818,3.666666667,12,-6.166666667,2.333333333,0,7,4.936,3.6
15,3,3,144,30,5.3,3.3,102,4.333333333,3.117647059,9,-5.888888889,1.666666667,0,0,3.886524823,3.063829787
15,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,4,0,138,56,2.357142857,3.357142857,14,3.5,3.214285714,2,-2,0,0,66,2.458333333,3.236111111
15,4,1,139,6,6.666666667,4,11,4.363636364,1.909090909,0,0,0,0,122,5.176470588,2.647058824
15,4,2,163,3,13.66666667,7,9,4,1.555555556,1,-8,0,1,149,5.307692308,2.692307692
15,4,3,45,2,-8.5,0,9,0,0,1,-6,0,1,30,-1.916666667,0
15,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,1,15,9,4.222222222,4.111111111,4,0,6,2,-5.5,1.5,0,0,1.8,4.266666667
20,1,2,1730,1010,5.161386139,4.238613861,658,6.37993921,4.313069909,31,-6.193548387,2.838709677,0,4,5.426133019,4.241907004
20,1,3,67,32,4.28125,3.15625,33,8.060606061,4.151515152,0,0,0,0,0,6.2,3.661538462
20,1,4,41,2,10.5,3.5,5,8.8,5.4,0,0,0,0,0,9.285714286,4.857142857
