RUT,587,Rutgers,
RUTG,587,Rutgers,
rutgers,587,Rutgers,
Rutgr,587,Rutgers,
samhouston,624,Sam Houston State,
sam-houston-st,624,Sam Houston State,
SHS,624,Sam Houston State,
SmHou,624,Sam Houston State,
SAM,625,Samford,
Samf,625,Samford,
samford,625,Samford,
SANDIEGOST,626,San Diego State,
san-diego-st,626,San Diego State,
SDSt,626,San Diego State,
SDSU,626,San Diego State,
San José State,630,San Jose State,
sanjos\xe9st,630,San Jose State,
sanjos\xe9state,630,San Jose State,
san-jose-st,630,San Jose State,
SJS,630,San Jose State,
SJSt,630,San Jose State,
SAV,632,Savannah State,
SAVANNAHST,632,Savannah State,
savannahstate,632,Savannah State,
SavSt,632,Savannah State,
SAB,646,South Alabama,
SAlab,646,South Alabama,
SOUTHALA,646,South Alabama,
south-ala,646,South Alabama,
USA,646,South Alabama,
scarolinast,647,South Carolina State,
SCS,647,South Carolina State,
SCST,647,South Carolina State,
south-carolina-st,647,South Carolina State,
SC,648,South Carolina,
SCaro,648,South Carolina,
SOCAROLINA,648,South Carolina,
south-carolina,648,South Carolina,
SDkSt,649,South Dakota State,
SDS,649,South Dakota State,
south-dakota-st,649,South Dakota State,
SD,650,South Dakota,
SDAK,650,South Dakota,
SDako,650,South Dakota,
south-dakota,650,South Dakota,
SFla,651,South Florida,
SOUFLA,651,South Florida,
south-fla,651,South Florida,
USF,651,South Florida,
SEM,654,Southeast Missouri State,
semissourist,654,Southeast Missouri State,
SEMO,654,Southeast Missouri State,
southeast-mo-st,654,Southeast Missouri State,
SELA,655,Southeastern Louisiana,
selouisiana,655,Southeastern Louisiana,
southern-california,657,USC,
USC,657,USC,
SIL,659,Southern Illinois,
sillinois,659,Southern Illinois,
SIU,659,Southern Illinois,
SoIll,659,Southern Illinois,
southern-ill,659,Southern Illinois,
smu,663,SMU,
SMU,663,SMU,
SoMis,664,Southern Mississippi,
SOUMISS,664,Southern Mississippi,
southern-miss,664,Southern Mississippi,
USM,664,Southern Mississippi,
southern,665,Southern University,
Sthrn,665,Southern University,
SoUth,667,Southern Utah,
southernutah,667,Southern Utah,
SUU,667,Southern Utah,
missouri-st,669,Missouri State,
MIZST,669,Missouri State,
MoSt,669,Missouri State,
MOSU,669,Missouri State,
texas-st,670,Texas State,
TexSt,670,Texas State,
TEXSTATE,670,Texas State,
TXST,670,Texas State,
LaLaf,671,Louisiana-Lafayette,
la-lafayette,671,Louisiana-Lafayette,
ULL,671,Louisiana-Lafayette,
ULLAFAYTTE,671,Louisiana-Lafayette,
