Team Code,Game Code,Rush Att,Rush Yard,Rush TD,Pass Att,Pass Comp,Pass Yard,Pass TD,Pass Int,Pass Conv,Kickoff Ret,Kickoff Ret Yard,Kickoff Ret TD,Punt Ret,Punt Ret Yard,Punt Ret TD,Fum Ret,Fum Ret Yard,Fum Ret TD,Int Ret,Int Ret Yard,Int Ret TD,Misc Ret,Misc Ret Yard,Misc Ret TD,Field Goal Att,Field Goal Made,Off XP Kick Att,Off XP Kick Made,Off 2XP Att,Off 2XP Made,Def 2XP Att,Def 2XP Made,Safety,Points,Punt,Punt Yard,Kickoff,Kickoff Yard,Kickoff Touchback,Kickoff Out-Of-Bounds,Kickoff Onside,Fumble,Fumble Lost,Tackle Solo,Tackle Assist,Tackle For Loss,Tackle For Loss Yard,Sack,Sack Yard,QB Hurry,Fumble Forced,Pass Broken Up,Kick/Punt Blocked,1st Down Rush,1st Down Pass,1st Down Penalty,Time Of Possession,Penalty,Penalty Yard,Third Down Att,Third Down Conv,Fourth Down Att,Fourth Down Conv,Red Zone Att,Red Zone TD,Red Zone Field Goal,First Down Total,Date
194,0194008620140830,33,51,1,37,18,322,3,0,0,4,89,0,2,34,0,1,0,0,1,0,0,0,0,0,0,0,4,4,0,0,0,0,0,28,8,309,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25:19,3,45,16,6,2,2,0,0,0,18,20140830
86,0194008620140830,49,174,2,36,25,298,3,1,0,3,61,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1,5,5,0,0,0,0,0,38,5,229,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45:36,3,31,20,11,2,2,0,0,0,26,20140830
201,0201042820140828,2,-20,0,57,32,310,2,1,0,2,40,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,20,6,158,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,29:51,6,28,21,8,5,4,0,0,0,27,20140828
428,0201042820140828,40,182,4,18,10,156,1,0,0,2,33,0,4,57,1,2,0,0,1,17,0,0,0,0,0,0,6,6,0,0,0,0,0,42,5,256,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28:32,5,50,12,6,0,0,0,0,0,18,20140828
229,0229046320140830,30,105,0,30,11,95,1,0,0,3,105,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,7,9,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25:42,3,22,15,4,1,0,0,0,0,13,20140830
463,0229046320140830,57,498,5,35,17,286,2,0,0,1,14,0,4,19,0,0,0,0,0,0,0,0,0,0,2,2,7,7,0,0,0,0,0,55,2,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33:55,6,60,12,8,0,0,0,0,0,35,20140830
253,0253049020140830,47,246,1,17,10,192,1,0,0,3,41,0,3,12,0,0,0,0,1,28,0,0,0,0,3,3,2,2,0,0,0,0,0,23,4,203,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32:27,3,35,14,6,1,0,0,0,0,18,20140830
490,0253049020140830,35,173,0,40,28,291,3,1,0,0,0,0,2,33,0,1,0,0,0,0,0,0,0,0,3,1,3,3,0,0,0,0,0,24,3,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27:33,4,20,15,7,1,0,0,0,0,26,20140830
294,0294073220140828,1,-2,0,40,21,158,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,14,11,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34:41,7,42,21,9,0,0,0,0,0,21,20140828
732,0294073220140828,46,238,5,32,22,351,1,0,0,1,100,1,6,82,1,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,56,5,234,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25:03,7,54,14,8,1,1,0,0,0,27,20140828
